time (ns)   horizontal Rotation (rad)   vertical Rotation (rad) @ 10 K
    0.0000          0.00000000          0.00000000  
    0.2000          1.69682212         -0.35536856  
    0.4000          0.59520912         -0.40111501  
    0.6000         -1.33073634         -0.27766363  
    0.8000         -1.41725065         -0.34225074  
    1.0000         -1.49961494         -0.32973850  
    1.2000          5.05958578         -0.38608336  
    1.4000         12.63350482         -0.26964520  
    1.6000         15.09233008         -0.36738733  
    1.8000         15.28163777         -0.29694048  
    2.0000         19.25137020         -0.25297184  
    2.2000         18.09040318         -0.34773605  
    2.4000         18.41064302         -0.30259350  
    2.6000         18.13926500         -0.36457140  
    2.8000         18.09124537         -0.42321323  
    3.0000         11.18141008         -0.36306941  
    3.2000          7.87125601         -0.42950748  
    3.4000          7.76059012         -0.32381196  
    3.6000          7.72368898         -0.34927158  
    3.8000          7.84814906         -0.33389406  
    4.0000          7.63957388         -0.28086664  
    4.2000          5.42791351         -0.36915157  
    4.4000         14.33690869         -0.28397813  
    4.6000         17.52212917         -0.35824135  
    4.8000         14.94411576         -0.41973378  
    5.0000         15.08089319         -0.33851862  
    5.2000         15.12542915         -0.40945679  
    5.4000         14.95119631         -0.34739938  
    5.6000         15.16641108         -0.42269976  
    5.8000         14.85201852         -0.37028624  
    6.0000         14.96072316         -0.43270253  
    6.2000         15.20181119         -0.33036386  
    6.4000         11.70666409         -0.34162374  
    6.6000          3.80139616         -0.42442850  
    6.8000         -0.55923062         -0.35740092  
    7.0000         -0.50036262         -0.36723304  
    7.2000         -0.28653552         -0.35597150  
    7.4000          8.47704279         -0.35979815  
    7.6000         22.79224171         -0.45338370  
    7.8000         26.77471619         -0.32704234  
    8.0000         33.89065018         -0.37661635  
    8.2000         29.65499059         -0.37685228  
    8.4000         29.45167728         -0.42234833  
    8.6000         30.44440880         -0.41553042  
    8.8000         28.11808921         -0.36919060  
    9.0000         34.16669657         -0.38900908  
    9.2000         33.49615255         -0.36143726  
    9.4000         28.40114158         -0.06474453  
    9.6000         27.95852138         -0.43325192  
    9.8000         24.89672220         -0.41636498  
   10.0000         21.85806356         -0.31095980  
   10.2000         29.80450521         -0.40158852  
   10.4000         29.89582042         -0.29745311  
   10.6000         29.55110554         -0.43945519  
   10.8000         37.78598356         -0.38942057  
   11.0000         39.15347627         -0.30834329  
   11.2000         39.15839962         -0.34184097  
   11.4000         38.99709329         -0.33881168  
   11.6000         39.11177392         -0.31062380  
   11.8000         39.29193996         -0.28484115  
   12.0000         39.11571515         -0.40164402  
   12.2000         39.16131950         -0.31917163  
