time (ns)   horizontal Ang. vel.(rad/ns)   vertical Ang. vel.(rad/ns) @ 10 K
    0.0000          0.05622780         -0.25453296
    0.1000         18.29226800        -68.78709200
    0.2000         47.90068200        -80.17914200
    0.3000        -15.10560400         -5.51829220
    0.4000        -45.38102100        -66.46456300
    0.5000         22.29904600        -12.36260200
    0.6000        -15.10507200        -32.15637300
    0.7000        -14.61289100         18.94208800
    0.8000         20.80034500        -42.90600900
    0.9000        -17.61113300         -8.87521650
    1.0000         45.65388600         95.51841600
    1.1000         24.96140900        -68.77130500
    1.2000         -7.28831160        -34.36722600
    1.3000         43.32609000         59.05575100
    1.4000         64.09760300         39.06927800
    1.5000         -2.88878370         26.45185300
    1.6000        -43.55585400         80.62819200
    1.7000        -40.41867300         25.58736700
    1.8000         -7.17392220         19.61665500
    1.9000         50.01413100        -70.95704100
    2.0000        -22.42666800        -71.53389600
    2.1000        -62.93300900        -91.43588800
    2.2000         -5.04453030         52.90117200
    2.3000        -17.16414000          7.97842830
    2.4000         -4.49224410         41.19488700
    2.5000         -3.57700210        -21.90913900
    2.6000        -38.79650500         -6.66716010
    2.7000        -28.50316300          2.72368470
    2.8000        -20.48898200        -50.27199900
    2.9000         53.95584200         39.56597100
    3.0000        -85.48597200        -64.71243500
    3.1000         14.98618300        -10.43526700
    3.2000        -24.91082500        -75.35770400
    3.3000        -19.13412000         15.47782000
    3.4000         51.77957900         13.13022100
    3.5000        -17.33562900        -29.21113200
    3.6000          7.19615300         -8.93019660
    3.7000        -17.48928400         -6.78296950
    3.8000         -4.53507670        -12.89771500
    3.9000         23.47779900         27.24728100
    4.0000         28.85699800        -21.54288400
    4.1000        -31.45665200        -40.23406300
    4.2000         67.05232200          3.54620060
    4.3000         69.55619100        -52.70980000
    4.4000         36.84503300         17.39046900
    4.5000         28.53177100         -0.81656875
    4.6000        -13.89783100         12.06923400
    4.7000         17.69203600        -39.23524900
    4.8000         54.85962700          5.92003580
    4.9000        -34.16564000         16.10950300
    5.0000        -21.90674800         16.95941300
    5.1000        -36.96477800         -2.10160410
    5.2000        -38.09429100        -33.55174400
    5.3000          0.84533123         52.14730900
    5.4000         -2.06164100         -6.28589890
    5.5000        -12.55847700         14.10151800
    5.6000        -18.50499600        -45.69924300
    5.7000         58.45022100         -7.92152990
    5.8000         29.76588500        -60.64149400
    5.9000         35.06751500        -54.63836100
    6.0000        -11.74106300        -44.46662400
    6.1000        -28.08101200         -9.59080130
    6.2000        -28.69418300         -7.90475780
    6.3000         51.94695000         32.75921000
    6.4000        -39.76116700        -85.46456400
    6.5000        -36.77177700        -10.09620400
    6.6000        -74.25807400         22.04060400
    6.7000         -5.89141360        -41.49620500
    6.8000        -41.11208800         27.39151900
    6.9000        -35.88903500        -13.99765800
    7.0000          1.18924350        -32.37221800
    7.1000        -67.28663600        -28.03313400
    7.2000         51.96458800         52.04917900
    7.3000         71.27931500          7.90062540
    7.4000         35.59228500        -14.70337400
    7.5000         82.16698400         20.96973000
    7.6000         54.33233800        -41.37504500
    7.7000         55.78906100        -72.23593900
    7.8000         53.74792400        -67.07116600
    7.9000         27.17522900          3.31309850
    8.0000        -63.94905900        -14.47760200
    8.1000        -15.89888800         46.38963900
    8.2000         48.63079600        -27.66904400
    8.3000        -29.57887000        -54.75740700
    8.4000        -30.42240800         20.74210500
    8.5000         57.45258800        -42.43555300
    8.6000          4.83494150         13.90038500
    8.7000        -23.93404300         11.13709800
    8.8000        -37.97629600         20.61769100
    8.9000         52.66735800        -11.01686500
    9.0000        -29.23770800        -91.67046500
    9.1000          2.37623970        -20.08527500
    9.2000          6.16666790         -4.82503190
    9.3000        -78.08804200        -80.25776900
    9.4000        -51.61313400        -49.39183400
    9.5000         63.05084600         65.80589200
    9.6000         -8.27634940        -21.74463600
    9.7000        -36.83320200          7.53274750
    9.8000        -33.05522200         -4.41177330
    9.9000         52.97357200        -33.44049000
   10.0000          2.91034530        -75.11147500
   10.1000         89.52595000         14.50860000
   10.2000         77.51110500         36.87073100
   10.3000        -17.87488100         -4.75855270
   10.4000        -32.10410500        -35.24707000
   10.5000        -77.51758700         13.09804200
   10.6000        -41.88795000          4.57206630
   10.7000         93.27594900         14.24935200
   10.8000         64.17503700        -15.74250300
   10.9000         23.87163600         53.00561800
   11.0000         34.65344000        -46.09502300
   11.1000        -20.51012600         51.31915400
   11.2000          7.22630350        -11.81845800
   11.3000          7.93243700         55.49367700
   11.4000         25.97119700        -12.66626200
   11.5000         49.27809700          0.82863265
   11.6000         63.91821100         39.46921300
   11.7000        -32.44912200         -0.31540720
   11.8000          1.90670740         50.17924700
   11.9000          1.72199910        -16.55040000
   12.0000        -13.70924700          9.92179390
   12.1000        -22.72654700         18.18090900
   12.2000          1.84048430        -12.19492300
   12.3000         16.25913200         19.42287000
   12.4000         15.92607300         43.61639100
   12.5000         23.11356700        -26.37705900
   12.6000          9.52555980        -81.62944600
   12.7000        -17.38969700        -37.99966400
   12.8000        -23.30718600        -42.37882200
   12.9000          5.99110220        -17.12485300
   13.0000          7.46081640         22.80188400
   13.1000          6.03745080         25.92849900
   13.2000          4.31924320        -55.75187500
   13.3000        -12.80781800        -40.62029200
   13.4000          3.81278960         14.68323400
   13.5000        -47.75147600         -9.28409140
   13.6000         71.97410900         -3.64026970
   13.7000         23.50023900        -55.98920200
   13.8000        -69.33532400         24.79691100
   13.9000        -82.63198900         14.49931900
   14.0000         62.68867900        -27.71356500
   14.1000        -14.26636600        -73.10552400
   14.2000        -41.18288100          7.40000370
   14.3000         11.95544800         14.94094400
   14.4000          6.78624480         74.21008400
   14.5000        -67.07967100          3.51103180
   14.6000         84.41191400        -79.91725600
   14.7000         90.45480800         26.28073200
   14.8000         75.21141900        -10.91249600
   14.9000         86.62242800       -107.04803000
   15.0000         45.87353400        -34.94235900
   15.1000         13.43276600        -20.10028800
   15.2000         71.62767300        -18.97821800
   15.3000        -51.43893800        -56.52819400
   15.4000        -61.48710000          4.28510620
   15.5000        -65.43773500         75.27169200
   15.6000         73.27726500        -33.38728600
   15.7000         97.65132400        -12.73856100
   15.8000         42.78805800        -48.67696800
   15.9000         52.17018500         12.15930000
   16.0000         55.74578400         -1.90974000
   16.1000        -18.29420600        -27.05315000
   16.2000         88.93861300        -17.68352800
   16.3000        -20.08216900          4.09188820
   16.4000         14.24638200         -4.55935850
   16.5000         -7.08685170         -4.45103280
   16.6000         28.43967400        -88.37276100
   16.7000        -26.97701300         51.39580800
   16.8000         32.46847600        -20.90105200
   16.9000        -11.34107800        -22.51070600
   17.0000        -18.78097300         -4.05003580
   17.1000        -37.69291400         21.47499700
   17.2000         17.94832100        -27.81166900
   17.3000         31.46248300        -50.22479000
   17.4000        -65.33875800         11.58943700
   17.5000         25.21051000         48.37846800
   17.6000        -39.77622700         77.53014000
   17.7000         40.88118400         38.16642300
   17.8000        -33.00387500         -5.53297960
   17.9000         -5.95927820         64.59779600
   18.0000          2.79036320         23.11171500
   18.1000        -22.90746700         -6.26185450
   18.2000         42.91872800        -39.68975300
   18.3000         16.24216900         53.05006000
   18.4000         -9.32268180          7.31478910
   18.5000        -18.18502000        -29.71307100
   18.6000        -14.42695700        -30.52823500
   18.7000          2.81861240         16.59333700
   18.8000        -14.52727200         12.01346100
   18.9000         -1.90049010         10.51730500
   19.0000          2.60676980         19.94169400
   19.1000          4.42982280         -3.92680480
   19.2000         -2.85389810         17.56457300
   19.3000         -4.01694880        -18.00178500
   19.4000          6.83326520         19.77305400
   19.5000         -0.00333754         25.99013500
   19.6000         11.79160800          0.17361061
   19.7000         18.95320400         15.03854400
   19.8000         10.91088500         13.60653300
   19.9000         12.72563000         42.62512100
   20.0000          6.08387980          6.32496840
   20.1000         12.56623600        -33.44597800
   20.2000         15.04910900         11.02821600
   20.3000         12.57520900        -33.50722000
   20.4000         -1.99650400        -10.88194100
   20.5000          5.59774230         26.58087400
   20.6000         -8.42373120         11.29087300
   20.7000        -15.69531500        -13.58135100
   20.8000        -31.37458600        -43.23289600
   20.9000        -38.33342800        -61.79377900
   21.0000          2.94408010        -22.13838300
   21.1000          2.58553520       -113.89621000
   21.2000         14.60712400         29.51562000
   21.3000         35.37721400         11.30892300
   21.4000        -52.31251500        -49.94809200
   21.5000          1.33713180        -46.10431700
   21.6000        -28.03530100        -49.10711600
   21.7000         28.92997900         36.97114000
   21.8000          6.82077670        -19.46718000
   21.9000        -39.22044200        -89.23789100
   22.0000         32.00175300         -7.80246990
   22.1000        -41.33891800        -29.73831000
   22.2000         10.21850300         24.43049500
   22.3000         16.25486100          4.44755640
   22.4000          6.11264420        -96.26109900
   22.5000         -1.71022180         15.03498300
   22.6000         30.84691500         -1.11669630
   22.7000         18.25090800        -33.85932600
   22.8000         -0.89483272        -19.65697900
   22.9000         24.39345700         57.95318500
   23.0000        -54.75439900         30.36734600
   23.1000        -52.71369500        -18.39450100
   23.2000         20.89553400         22.84628600
   23.3000         24.61868400        -56.49939000
   23.4000         52.18729200        -19.01706900
   23.5000         33.16823300        -29.32681800
   23.6000         15.61171700         41.92508900
   23.7000         20.08641800         27.89516800
   23.8000         -2.28109650          4.03677660
   23.9000        -41.96324900        -28.66449700
   24.0000         31.62854500        -74.26976600
   24.1000        -25.27174600        -35.89308700
   24.2000         24.99053300         17.49417900
   24.3000        -43.13277000        -54.52382800
   24.4000          8.54610390         68.77860600
   24.5000         -8.40670470         30.57644900
   24.6000        -53.58102900        -36.25329800
   24.7000         -2.31526180         23.86867600
   24.8000         64.68790900          6.79322800
   24.9000        -40.60852100         83.57967300
   25.0000        -26.41095100         42.41640900
   25.1000         12.18919700        -52.57354700
   25.2000         73.19491600        -36.06617100
   25.3000         95.86916700         31.70498200
   25.4000         74.18768400         15.19300800
   25.5000        -20.80148700         14.27579900
   25.6000         17.26544200         49.23888000
   25.7000        -62.40859800        -29.49830100
