time (ns)   horizontal Rotation (rad)   vertical Rotation (rad) @ 300 K
    0.0000          0.00000000          0.00000000  
    0.2000        -19.17384600         -6.28086680  
    0.4000        -74.45862979         14.16884402  
    0.6000       -131.90091186         13.08927446  
    0.8000       -218.39867646         13.29848761  
    1.0000       -315.53614939         13.13910253  
    1.2000       -385.15750525         10.37559284  
    1.4000       -433.13100205         29.37788429  
    1.6000       -515.83558365         22.12229008  
    1.8000       -561.91397450         31.33258680  
    2.0000       -575.69428128        117.48117102  
    2.2000       -589.06834524         54.34663818  
    2.4000       -645.82046090         39.32469546  
    2.6000       -717.28509423         41.67166696  
    2.8000       -776.70818572         46.22857719  
    3.0000       -867.60465439         46.69051492  
    3.2000       -960.77438723         48.91441967  
    3.4000      -1064.38755963         35.43620137  
    3.6000      -1130.64456674        -30.18199168  
    3.8000      -1197.39901712        -28.48985325  
    4.0000      -1235.91340607        -37.66099030  
    4.2000      -1289.59683115        -42.63974078  
    4.4000      -1334.15581545        -13.12525279  
    4.6000      -1427.68737352        -11.88572100  
    4.8000      -1516.62313591        -13.49785010  
    5.0000      -1590.05396381        -17.21541316  
    5.2000      -1651.59233811        -24.54694968  
    5.4000      -1719.63733964        -30.29946461  
    5.6000      -1790.41276989        -31.24002131  
    5.8000      -1816.92962829         22.37427946  
    6.0000      -1853.03935337         11.06747900  
    6.2000      -1882.44127725        -11.28885433  
    6.4000      -1911.23509607        -23.82862177  
    6.6000      -1925.21718584        -80.24969706  
    6.8000      -1967.49400715        -81.97029358  
    7.0000      -2011.01054094        -95.75477428  
    7.2000      -2012.99249085       -100.40456153  
    7.4000      -1999.77914362       -125.09158898  
    7.6000      -1971.38512637       -127.41967605  
    7.8000      -1963.14717302        -83.83454049  
    8.0000      -1918.46631664        -85.04613170  
    8.2000      -1901.67394136        -78.33226143  
    8.4000      -1904.70143456         -0.13106314  
    8.6000      -1889.20119406         54.10612144  
    8.8000      -1885.29088547        158.01311093  
    9.0000      -1877.97044546        139.62109106  
    9.2000      -1859.30108609        107.56489810  
    9.4000      -1822.44566577        104.16311817  
    9.6000      -1796.18129734        114.57926598  
    9.8000      -1785.49263698        135.41560970  
   10.0000      -1793.55569773        187.59577732  
   10.2000      -1796.53165645        128.95424858  
   10.4000      -1799.77299925        177.80950879  
   10.6000      -1800.17663555        277.55384984  
   10.8000      -1814.45974129        343.66298793  
   11.0000      -1881.48916870        333.62652100  
   11.2000      -1953.84959062        334.60112090  
   11.4000      -1998.19583508        298.96469877  
   11.6000      -2047.09328015        282.00940695  
   11.8000      -2070.47710944        257.97978939  
   12.0000      -2037.36861537        273.82308203  
   12.2000      -2011.86057184        285.85455133  
   12.4000      -2001.91579915        287.97993487  
   12.6000      -2016.44171348        302.43694848  
   12.8000      -2061.13635357        313.82399876  
   13.0000      -2052.96710754        312.26347248  
   13.2000      -2034.42500851        329.80506970  
   13.4000      -1988.80474497        325.30931629  
   13.6000      -1932.11524779        330.02465657  
   13.8000      -1913.91464108        407.18398995  
   14.0000      -1879.90827328        429.07884380  
   14.2000      -1845.02089649        428.84579007  
   14.4000      -1812.71587462        442.13275756  
   14.6000      -1813.11182423        489.76485443  
   14.8000      -1827.15218085        464.01517408  
   15.0000      -1883.36326532        462.96013032  
   15.2000      -1911.61866229        493.37933427  
   15.4000      -1951.10570219        504.88752623  
   15.6000      -1996.95537163        511.40412180  
   15.8000      -1997.00801364        496.38058960  
   16.0000      -1977.58719534        444.37740271  
   16.2000      -1951.94230840        448.69465362  
   16.4000      -1912.38980703        442.67697691  
   16.6000      -1895.50097671        444.34233561  
   16.8000      -1886.99053986        388.07905849  
   17.0000      -1880.55888818        376.70987442  
   17.2000      -1828.81796471        366.44213107  
   17.4000      -1783.45370944        369.49348836  
   17.6000      -1787.08346360        375.55043987  
   17.8000      -1785.32259267        363.29791399  
   18.0000      -1740.57904088        362.89766624  
   18.2000      -1743.18947327        398.84819621  
   18.4000      -1717.38656964        392.51410149  
   18.6000      -1715.41905389        394.94657759  
   18.8000      -1735.43747819        374.88747896  
   19.0000      -1774.74795902        341.20363365  
   19.2000      -1788.14694462        315.84584534  
   19.4000      -1822.48806318        309.73453563  
   19.6000      -1806.51356429        294.40760915  
   19.8000      -1807.80089723        285.85139377  
   20.0000      -1768.27166930        286.88769662  
   20.2000      -1742.61474865        313.93738701  
   20.4000      -1707.02093726        355.59242679  
   20.6000      -1719.40839985        362.40168224  
   20.8000      -1731.83015011        352.55690867  
   21.0000      -1729.92949924        360.58724061  
   21.2000      -1714.31640597        363.48686119  
   21.4000      -1711.25008059        355.47099565  
   21.6000      -1708.59679299        352.35216314  
   21.8000      -1714.57174501        362.77322636  
   22.0000      -1775.09023001        384.47762020  
   22.2000      -1800.06149226        448.98766328  
   22.4000      -1850.46338679        443.33249468  
