time (ns)   horizontal Ang. vel.(rad/ns)   vertical Ang. vel.(rad/ns) @ 300 K
    0.0000          0.30797237         -1.39413450  
    0.1000         -4.92405150        221.44393000  
    0.2000       -274.81065000         75.12066700  
    0.3000       -167.90601000         23.53278000  
    0.4000       -360.47384000        -73.78556000  
    0.5000       -248.68273000         -4.06599920  
    0.6000       -274.66591000        109.37173000  
    0.7000       -397.40641000       -269.08048000  
    0.8000       -397.01396000        224.54384000  
    0.9000       -349.65907000        328.97165000  
    1.0000       -355.23790000       -171.13932000  
    1.1000       -299.14277000       -306.59673000  
    1.2000       -277.50232000       -159.14046000  
    1.3000       -308.74291000       -202.23212000  
    1.4000       -281.38668000         38.35180900  
    1.5000       -410.96056000       -147.41659000  
    1.6000       -329.89496000         25.55695100  
    1.7000       -153.45761000        -91.37755900  
    1.8000       -317.36832000        111.72700000  
    1.9000       -301.20402000       -378.18358000  
    2.0000       -345.39185000        114.09123000  
    2.1000       -242.95951000       -461.92233000  
    2.2000       -268.54985000       -139.65016000  
    2.3000       -339.58990000        145.10261000  
    2.4000       -329.49420000       -133.65489000  
    2.5000       -281.82589000       -237.97627000  
    2.6000       -312.53984000       -101.52421000  
    2.7000       -317.08497000        295.86837000  
    2.8000       -448.65455000         34.68022800  
    2.9000       -423.44259000        -34.97401200  
    3.0000       -510.44923000        -68.44892500  
    3.1000       -459.86327000        -11.00214400  
    3.2000       -421.55925000        220.60819000  
    3.3000       -383.72891000         32.69054000  
    3.4000       -429.00815000        110.07881000  
    3.5000       -433.25791000        462.65282000  
    3.6000       -449.45338000        -79.23276600  
    3.7000       -276.80196000        -53.43694200  
    3.8000       -136.95909000       -183.48066000  
    3.9000       -295.34693000       -207.71664000  
    4.0000       -338.57710000         70.06274200  
    4.1000       -221.72579000        204.03377000  
    4.2000       -243.71736000        110.25614000  
    4.3000       -175.31856000        216.28129000  
    4.4000       -297.47850000         87.07315700  
    4.5000       -309.30260000       -208.18411000  
    4.6000       -388.48721000       -149.48815000  
    4.7000       -360.03374000       -285.47981000  
    4.8000       -312.23240000         83.37779900  
    4.9000       -282.48757000        244.05428000  
    5.0000       -351.56666000       -106.79095000  
    5.1000       -299.13545000        110.90607000  
    5.2000       -282.79747000         -5.93386340  
    5.3000       -161.30035000       -334.65671000  
    5.4000       -228.53613000       -468.24383000  
    5.5000       -305.82527000        -98.81642600  
    5.6000       -329.17972000        329.55856000  
    5.7000       -251.50834000       -235.15932000  
    5.8000       -188.33360000       -210.28950000  
    5.9000       -188.63957000        121.92389000  
    6.0000       -175.02499000       -188.13962000  
    6.1000       -127.63218000        170.39716000  
    6.2000       -109.07441000        -15.40302700  
    6.3000       -151.19990000        -71.60704300  
    6.4000       -218.77760000        182.15073000  
    6.5000       -123.26933000       -385.75269000  
    6.6000       -161.77602000        164.72052000  
    6.7000       -215.44418000         83.64762400  
    6.8000       -204.16188000       -151.16416000  
    6.9000       -305.20322000         44.08200900  
    7.0000       -136.96481000         44.36701700  
    7.1000        -15.56264600         84.30187900  
    7.2000         58.17574900        165.44258000  
    7.3000         46.48733400       -229.08433000  
    7.4000        122.24394000        105.33927000  
    7.5000        135.46026000        149.49490000  
    7.6000        142.12617000       -302.18374000  
    7.7000         95.08798600       -138.87972000  
    7.8000        155.27662000        232.48792000  
    7.9000        284.99996000         -1.12072710  
    8.0000         67.99950900       -112.79366000  
    8.1000        178.25564000         79.49178100  
    8.2000         -5.26188860       -257.74528000  
    8.3000         38.63701000        100.04293000  
    8.4000         65.17483500         42.70091800  
    8.5000         82.15917500         91.85084600  
    8.6000        197.30935000       -370.81825000  
    8.7000         86.58920400        278.74686000  
    8.8000         46.74376600        271.65326000  
    8.9000         64.37432600       -174.98954000  
    9.0000         43.17438700        -79.56020100  
    9.1000        301.01232000        -50.33601900  
    9.2000        226.35672000        161.02912000  
    9.3000        156.74466000        127.34983000  
    9.4000        122.63506000         94.69390300  
    9.5000        136.40908000        -81.84008000  
    9.6000         50.54524900        282.87583000  
    9.7000          5.91881290        198.73491000  
    9.8000         33.95389600       -172.31227000  
    9.9000          3.34602550        337.36620000  
   10.0000         -4.40686230        112.58299000  
   10.1000         17.31974100        390.65551000  
   10.2000          9.49292540        185.47532000  
   10.3000        -51.70546100        -45.18576300  
   10.4000        -92.49888800        426.58521000  
   10.5000        -77.09227700         13.01161600  
   10.6000       -183.75085000        295.82227000  
   10.7000       -194.43427000        449.50689000  
   10.8000       -202.73958000        300.97063000  
   10.9000       -283.08186000        197.46026000  
   11.0000       -299.33599000       -162.75088000  
   11.1000       -408.99197000        -96.17595800  
   11.2000       -402.37070000       -189.83040000  
   11.3000       -326.51415000        312.64760000  
   11.4000       -287.51676000       -176.84978000  
   11.5000       -294.79579000        -91.50935700  
   11.6000       -246.81663000        -89.62995400  
   11.7000       -124.62267000        397.57241000  
   11.8000        -47.74013800         53.89981500  
   11.9000        104.53415000       -196.00480000  
   12.0000        132.50319000        111.12681000  
   12.1000        120.40782000        303.33228000  
   12.2000         98.85757900        -74.81311700  
   12.3000         78.13248900        -15.14563200  
   12.4000        -11.01577500        -84.00699300  
   12.5000         20.10714700        123.43747000  
   12.6000        -65.10824900         94.71883500  
   12.7000       -140.74012000        282.39211000  
   12.8000       -192.34704000        -89.48825400  
   12.9000         39.82433800        -22.08489500  
   13.0000        178.12564000       -271.26751000  
   13.1000        190.29939000        158.62630000  
   13.2000        171.16933000         -7.37624820  
   13.3000        241.00332000        114.82899000  
   13.4000        225.27988000         45.62850800  
   13.5000        384.58156000         77.66156100  
   13.6000        298.82970000       -231.52049000  
   13.7000        246.48539000       -462.40285000  
   13.8000        180.79246000       -396.45284000  
   13.9000        266.09023000       -178.69205000  
   14.0000        177.39855000        153.76508000  
   14.1000        102.73190000        142.81480000  
   14.2000        159.91959000        -29.47263000  
   14.3000        209.23613000       -111.97481000  
   14.4000         72.75114200          1.24306200  
   14.5000         47.37127400       -153.24290000  
   14.6000         52.69082000         26.32434900  
   14.7000        -14.76896700       -307.46281000  
   14.8000       -106.07269000       -503.73625000  
   14.9000       -193.71380000        133.80034000  
   15.0000       -122.11719000        198.39305000  
   15.1000       -145.91442000       -220.76378000  
   15.2000       -119.55879000       -158.82150000  
   15.3000       -194.53295000         76.48301000  
   15.4000       -231.49033000        119.07557000  
   15.5000       -159.14948000        253.48500000  
   15.6000       -157.94185000        121.67909000  
   15.7000        -10.33978600       -206.75269000  
   15.8000         96.60515400         46.42533000  
   15.9000        161.56793000        322.24021000  
   16.0000        306.28631000         95.26966600  
   16.1000        137.86442000        174.86725000  
   16.2000         34.02035900         -1.30000660  
   16.3000        115.54015000        214.38287000  
   16.4000         50.84137600        159.04404000  
   16.5000          9.15165330        -27.44695700  
   16.6000         84.04731800       -120.30164000  
   16.7000         16.18702400       -194.92158000  
   16.8000         20.89908500       -371.76121000  
   16.9000        104.05806000         67.75465300  
   17.0000        168.71297000          2.42950160  
   17.1000        138.71960000        -27.57811600  
   17.2000        261.65234000       -108.43745000  
   17.3000        228.57080000       -274.22952000  
   17.4000        121.75748000         26.75733800  
   17.5000        -46.61147300        296.81618000  
   17.6000        -86.36394100        195.84159000  
   17.7000        -47.30426800        112.44347000  
   17.8000        119.15626000       -153.66124000  
   17.9000        148.19438000       -159.11285000  
   18.0000         41.34239500        143.12431000  
   18.1000         -7.71116150         81.98356500  
   18.2000        132.70280000       -244.15136000  
   18.3000        158.39423000        -36.26172900  
   18.4000         39.22226500          8.57313130  
   18.5000         22.52431700        -73.13957400  
   18.6000        -63.47954300        156.74791000  
   18.7000       -115.91068000        228.61531000  
