distance(A)     Interaction Energy(meV)   
    5.0000      98079.08916134 
    5.0250      84953.00682638 
    5.0500      73672.90756493 
    5.0750      63962.24712376 
    5.1000      55588.54926319 
    5.1250      48355.97266426 
    5.1500      42099.18180947 
    5.1750      36678.33420490 
    5.2000      31974.89114997 
    5.2250      27888.18820524 
    5.2500      24332.57832658 
    5.2750      21235.05224187 
    5.3000      18533.27012638 
    5.3250      16173.89593267 
    5.3500      14111.22693377 
    5.3750      12306.04141881 
    5.4000      10724.61963884 
    5.4250       9337.90761183 
    5.4500       8120.86884966 
    5.4750       7051.86793912 
    5.5000       6112.19401870 
    5.5250       5285.63938425 
    5.5500       4558.13425514 
    5.5750       3917.46546768 
    5.6000       3353.00708557 
    5.6250       2855.49699641 
    5.6500       2416.87356182 
    5.6750       2030.07799412 
    5.7000       1688.96480427 
    5.7250       1388.12442297 
    5.7500       1122.83157964 
    5.7750        888.94721480 
    5.8000        682.81820087 
    5.8250        501.25053561 
    5.8500        341.42616566 
    5.8750        200.85335970 
    5.9000         77.35588918 
    5.9250        -31.00759689 
    5.9500       -125.93693663 
    5.9750       -208.95084715 
    6.0000       -281.37304784 
    6.0250       -344.39474800 
    6.0500       -399.06260098 
    6.0750       -446.30995628 
    6.1000       -486.96585587 
    6.1250       -521.75124873 
    6.1500       -551.32630886 
    6.1750       -576.27364507 
    6.2000       -597.11018562 
    6.2250       -614.28237946 
    6.2500       -628.21980465 
    6.2750       -639.27297578 
    6.3000       -647.77364213 
    6.3250       -654.01511173 
    6.3500       -658.25729755 
    6.3750       -660.72843182 
    6.4000       -661.63591141 
    6.4250       -661.17027197 
    6.4500       -659.49210175 
    6.4750       -656.74877965 
    6.5000       -653.07247418 
    6.5250       -648.58103014 
    6.5500       -643.37804873 
    6.5750       -637.55897129 
    6.6000       -631.21138231 
    6.6250       -624.41574852 
    6.6500       -617.22847401 
    6.6750       -609.72075015 
    6.7000       -601.93849390 
    6.7250       -593.92446876 
    6.7500       -585.72840948 
    6.7750       -577.39388445 
    6.8000       -568.94354648 
    6.8250       -560.41696528 
    6.8500       -551.83978218 
    6.8750       -543.23387817 
    6.9000       -534.61498107 
    6.9250       -526.00578013 
    6.9500       -517.42036906 
    6.9750       -508.87643347 
    7.0000       -500.38807254 
    7.0250       -491.95859299 
    7.0500       -483.60434618 
    7.0750       -475.34250650 
    7.1000       -467.16413081 
    7.1250       -459.07588415 
    7.1500       -451.09579155 
    7.1750       -443.22581551 
    7.2000       -435.45768662 
    7.2250       -427.81165986 
    7.2500       -420.27485700 
    7.2750       -412.85703416 
    7.3000       -405.55529571 
    7.3250       -398.37849755 
    7.3500       -391.31773655 
    7.3750       -384.37479962 
    7.4000       -377.55868116 
    7.4250       -370.85581208 
    7.4500       -364.27241806 
    7.4750       -357.81532177 
    7.5000       -351.47800322 
    7.5250       -345.25756788 
    7.5500       -339.14969896 
    7.5750       -333.15430355 
    7.6000       -327.27276935 
    7.6250       -321.49915358 
    7.6500       -315.83888805 
    7.6750       -310.29481560 
    7.7000       -304.85040223 
    7.7250       -299.51914717 
    7.7500       -294.28457661 
    7.7750       -289.15203347 
    7.8000       -284.12655443 
    7.8250       -279.19879940 
    7.8500       -274.36325105 
    7.8750       -269.62303621 
    7.9000       -264.97680479 
    7.9250       -260.42233772 
    7.9500       -255.95077280 
    7.9750       -251.57310114 
    8.0000       -247.28161291 
    8.0250       -243.07831474 
    8.0500       -238.95903326 
    8.0750       -234.91267894 
    8.1000       -230.95004410 
    8.1250       -227.06701935 
    8.1500       -223.25589840 
    8.1750       -219.52272994 
    8.2000       -215.86262455 
    8.2250       -212.27606106 
    8.2500       -208.75254471 
    8.2750       -205.30374560 
    8.3000       -201.92154378 
    8.3250       -198.60305696 
    8.3500       -195.34803609 
    8.3750       -192.15336073 
    8.4000       -189.02201920 
    8.4250       -185.94691545 
    8.4500       -182.93268158 
    8.4750       -179.97702343 
    8.5000       -177.08200428 
    8.5250       -174.23065123 
    8.5500       -171.44667138 
    8.5750       -168.70961396 
    8.6000       -166.02198966 
    8.6250       -163.37907033 
    8.6500       -160.79422990 
    8.6750       -158.24934426 
    8.7000       -155.75667848 
    8.7250       -153.31390663 
    8.7500       -150.90700793 
    8.7750       -148.55337617 
    8.8000       -146.23833332 
    8.8250       -143.97451256 
    8.8500       -141.75186727 
    8.8750       -139.56748754 
    8.9000       -137.42011595 
    8.9250       -135.30788144 
    8.9500       -133.23908169 
    8.9750       -131.20538508 
    9.0000       -129.20327144 
