Ripples magnitude calculated by two potentials at different temperatures (A)
Temperatue (K)      Tersoff potential   Airebo potential
    1.0000          0.08497600          0.08455500 
    5.0000          0.17883200          0.18017000 
   10.0000          0.23813300          0.23493500 
   20.0000          0.30228300          0.31305700 
   35.0000          0.36683500          0.37511300 
   50.0000          0.38584500          0.43024400 
   75.0000          0.44556400          0.45518100 
  100.0000          0.53509000          0.48322500 
  200.0000          0.61833900          0.65313300 
  300.0000          0.69749300          0.77311100 
  400.0000          0.89967800          0.82268400 
  500.0000          0.89686900          0.89732800 
  600.0000          0.91824800          0.91574500 
  700.0000          0.90160500          0.96298300 
  800.0000          0.97872200          0.91814400 
  900.0000          0.98633900          1.02411900 
 1000.0000          0.99561600          0.95001600 
