    time (ps)       MSD(A2) @ 1K        MSD(A2) @ 5K        MSD(A2) @ 10K        MSD(A2) @ 20K        MSD(A2) @ 30K        MSD(A2) @ 35K        
    0.2000          0.00360826          0.00234290          0.00200155          0.00118775          0.00063839          0.00008935 
    0.4000          0.01446756          0.00932088          0.00804049          0.00478785          0.00255160          0.00035756 
    0.6000          0.03259463          0.02083243          0.01813246          0.01083746          0.00572435          0.00080207 
    0.8000          0.05786283          0.03682991          0.03226189          0.01931662          0.01013336          0.00141691 
    1.0000          0.09019695          0.05730256          0.05037621          0.03014619          0.01572813          0.00219787 
    1.2000          0.12941015          0.08212993          0.07243305          0.04323999          0.02250137          0.00314534 
    1.4000          0.17542874          0.11125545          0.09845029          0.05838716          0.03041336          0.00425782 
    1.6000          0.22806080          0.14474410          0.12830549          0.07561378          0.03936898          0.00553280 
    1.8000          0.28732554          0.18278291          0.16171363          0.09472174          0.04934682          0.00696191 
    2.0000          0.35306848          0.22532002          0.19865405          0.11562381          0.06024024          0.00853844 
    2.2000          0.42530099          0.27231870          0.23906069          0.13816961          0.07201997          0.01025929 
    2.4000          0.50367154          0.32350945          0.28269709          0.16209201          0.08467865          0.01210515 
    2.6000          0.58803040          0.37866392          0.32949155          0.18741527          0.09826082          0.01407751 
    2.8000          0.67762655          0.43853181          0.37910303          0.21409495          0.11276157          0.01616052 
    3.0000          0.77248506          0.50272252          0.43144261          0.24196676          0.12813201          0.01834779 
    3.2000          0.87301016          0.57093508          0.48635241          0.27114806          0.14436062          0.02061818 
    3.4000          0.97922399          0.64257496          0.54342887          0.30119809          0.16146567          0.02295913 
    3.6000          1.09094332          0.71740303          0.60237324          0.33201548          0.17946820          0.02532879 
    3.8000          1.20823382          0.79535461          0.66301716          0.36384259          0.19834714          0.02769483 
    4.0000          1.33169207          0.87596563          0.72540352          0.39661092          0.21813975          0.03006033 
    4.2000          1.46026986          0.95919913          0.78953262          0.43031104          0.23876837          0.03242392 
    4.4000          1.59436577          1.04567034          0.85529467          0.46495320          0.25997355          0.03476386 
    4.6000          1.73275430          1.13583248          0.92247985          0.50051785          0.28172184          0.03706339 
    4.8000          1.87411425          1.22891450          0.99076286          0.53678440          0.30416734          0.03930462 
    5.0000          2.01839145          1.32560485          1.06019177          0.57337743          0.32734841          0.04149008 
    5.2000          2.16628083          1.42630827          1.13054796          0.61021426          0.35103373          0.04361446 
    5.4000          2.31700170          1.53170630          1.20172194          0.64717087          0.37520420          0.04566092 
    5.6000          2.47123748          1.64169171          1.27378178          0.68401257          0.39986729          0.04762556 
    5.8000          2.62854268          1.75641062          1.34684388          0.72079116          0.42479364          0.04949557 
    6.0000          2.79031463          1.87640168          1.42091785          0.75729613          0.44986509          0.05126478 
    6.2000          2.95632543          2.00069968          1.49644570          0.79374550          0.47475994          0.05293352 
    6.4000          3.12584230          2.12859089          1.57280448          0.83010431          0.49948744          0.05450363 
    6.6000          3.29970866          2.26066638          1.64946697          0.86586826          0.52425986          0.05595278 
    6.8000          3.47981859          2.39621504          1.72693844          0.90096726          0.54881746          0.05725408 
    7.0000          3.66519474          2.53545170          1.80514744          0.93544261          0.57310309          0.05841419 
    7.2000          3.85559650          2.67810158          1.88458420          0.96918431          0.59719735          0.05941347 
    7.4000          4.05023204          2.82338495          1.96526961          1.00178354          0.62106823          0.06024661 
    7.6000          4.24890844          2.97093181          2.04729581          1.03316099          0.64467543          0.06093573 
    7.8000          4.45174000          3.11957272          2.13029945          1.06338314          0.66806274          0.06148240 
    8.0000          4.65719672          3.26974020          2.21427684          1.09264374          0.69134436          0.06186366 
    8.2000          4.86681079          3.42108804          2.29847805          1.12093913          0.71399553          0.06211429 
    8.4000          5.08072824          3.57501031          2.38326419          1.14836435          0.73627362          0.06223321 
    8.6000          5.29782304          3.73102721          2.46798461          1.17495723          0.75805790          0.06218667 
    8.8000          5.51697744          3.89003952          2.55249262          1.20031887          0.77930581          0.06199077 
    9.0000          5.74043357          4.05172166          2.63705729          1.22439531          0.80028038          0.06166917 
    9.2000          5.96791266          4.21682854          2.72201675          1.24736631          0.82083956          0.06121353 
    9.4000          6.19761722          4.38540520          2.80751612          1.26925546          0.84099150          0.06063590 
    9.6000          6.42992734          4.55630031          2.89280683          1.29036598          0.86062616          0.05992903 
    9.8000          6.66513875          4.72946676          2.97759737          1.31088042          0.87966097          0.05910260 
   10.0000          6.90110058          4.90565139          3.06281318          1.33078588          0.89789968          0.05816922 
   10.2000          7.14024500          5.08477497          3.14808750          1.35029994          0.91557416          0.05715366 
   10.4000          7.38151970          5.26724230          3.23384319          1.36968578          0.93282281          0.05607027 
   10.6000          7.62515340          5.45273052          3.31979059          1.38886795          0.94971337          0.05489126 
   10.8000          7.87054236          5.64283080          3.40553920          1.40830075          0.96603310          0.05360481 
   11.0000          8.11621643          5.83510255          3.49153873          1.42775152          0.98172683          0.05221733 
   11.2000          8.36208060          6.03063495          3.57751569          1.44768662          0.99673320          0.05073866 
   11.4000          8.60853706          6.23024971          3.66429025          1.46753608          1.01112609          0.04914464 
   11.6000          8.85671720          6.43280831          3.75254672          1.48767832          1.02521217          0.04746502 
   11.8000          9.10824311          6.63809200          3.84232221          1.50841619          1.03875667          0.04569100 
   12.0000          9.36285825          6.84524143          3.93425819          1.53002112          1.05159964          0.04383643 
   12.2000          9.62078333          7.05373180          4.02720653          1.55264813          1.06365696          0.04191136 
   12.4000          9.88174341          7.26296988          4.12162718          1.57593363          1.07501618          0.03991591 
   12.6000         10.14594910          7.47230465          4.21775903          1.60006069          1.08584280          0.03787496 
   12.8000         10.41466261          7.68271067          4.31729328          1.62491452          1.09623599          0.03580118 
   13.0000         10.68606215          7.89470953          4.41911800          1.65061028          1.10607300          0.03369225 
   13.2000         10.96062949          8.10670642          4.52281462          1.67648813          1.11560475          0.03156120 
   13.4000         11.23851509          8.31713115          4.62807730          1.70254404          1.12453257          0.02940726 
   13.6000         11.51875764          8.52582794          4.73392251          1.72902367          1.13263530          0.02725121 
   13.8000         11.80172267          8.73289379          4.84006170          1.75560736          1.13978497          0.02512789 
   14.0000         12.08855126          8.93895092          4.94567705          1.78218132          1.14616247          0.02303982 
   14.2000         12.37901173          9.14254351          5.05146472          1.80918614          1.15177544          0.02100000 
   14.4000         12.67454600          9.34315767          5.15728974          1.83661482          1.15671128          0.01902290 
   14.6000         12.97348908          9.54334604          5.26220966          1.86446612          1.16083824          0.01713036 
   14.8000         13.27647717          9.74600633          5.36521783          1.89221377          1.16366373          0.01533983 
   15.0000         13.58061613          9.95188521          5.46692954          1.91985193          1.16536806          0.01364686 
   15.2000         13.88835509         10.16163762          5.56624000          1.94808181          1.16581891          0.01205933 
   15.4000         14.20188887         10.37492059          5.66370099          1.97715729          1.16460468          0.01059179 
   15.6000         14.51734135         10.59188490          5.75965511          2.00719552          1.16231287          0.00925485 
   15.8000         14.83410526         10.81166628          5.85339742          2.03771709          1.15880583          0.00805237 
   16.0000         15.15344608         11.03264908          5.94650276          2.06934144          1.15417687          0.00699289 
   16.2000         15.47132688         11.25831107          6.03837862          2.10170225          1.14848135          0.00607998 
   16.4000         15.79067916         11.48721322          6.12832458          2.13476796          1.14215415          0.00532087 
   16.6000         16.10853167         11.71787232          6.21620112          2.16853465          1.13531489          0.00470793 
   16.8000         16.42446687         11.94792006          6.30106642          2.20360170          1.12797046          0.00423882 
   17.0000         16.74175984         12.18014383          6.38375027          2.23973083          1.12048173          0.00392293 
   17.2000         17.06234793         12.41498895          6.46603502          2.27714114          1.11290518          0.00375595 
   17.4000         17.38446633         12.65002827          6.54689469          2.31489861          1.10535154          0.00373288 
   17.6000         17.71077206         12.88897801          6.62750703          2.35301421          1.09837656          0.00385634 
