    time (ps)       MSD(A2) @ 35K       MSD(A2) @ 50K       MSD(A2) @ 60K       MSD(A2) @ 75K       MSD(A2) @ 100K     MSD(A2) @ 150K        
    0.2000          0.01751199          0.01041917          0.00761184          0.00550858          0.00547640          0.00360826 
    0.4000          0.06999030          0.04137834          0.03069739          0.02209240          0.02189375          0.01446756 
    0.6000          0.15772189          0.09239190          0.06965214          0.04996673          0.04921443          0.03259463 
    0.8000          0.28047890          0.16318780          0.12444719          0.08929508          0.08740525          0.05786283 
    1.0000          0.43772244          0.25385741          0.19518367          0.14016061          0.13622558          0.09019695 
    1.2000          0.62928843          0.36415625          0.28189479          0.20225830          0.19550582          0.12941015 
    1.4000          0.85576071          0.49463728          0.38429251          0.27463126          0.26470871          0.17542874 
    1.6000          1.11601100          0.64462883          0.50119188          0.35831382          0.34392612          0.22806080 
    1.8000          1.41012847          0.81318059          0.63297632          0.45368419          0.43257089          0.28732554 
    2.0000          1.73724868          0.99986710          0.77932088          0.55964542          0.52988701          0.35306848 
    2.2000          2.09813532          1.20443413          0.94024629          0.67675771          0.63616291          0.42530099 
    2.4000          2.49149674          1.42841175          1.11559444          0.80478393          0.75166551          0.50367154 
    2.6000          2.91886114          1.67009517          1.30551376          0.94375291          0.87606747          0.58803040 
    2.8000          3.37627754          1.92840399          1.51131814          1.09451881          1.00939853          0.67762655 
    3.0000          3.86427877          2.20462999          1.73111221          1.25687166          1.15167058          0.77248506 
    3.2000          4.38436282          2.49762052          1.96311978          1.42997142          1.30240339          0.87301016 
    3.4000          4.93632063          2.80661670          2.20903636          1.61455935          1.46060702          0.97922399 
    3.6000          5.51735142          3.12929178          2.46811301          1.81055669          1.62711686          1.09094332 
    3.8000          6.12921122          3.46633970          2.73878008          2.01771164          1.80277004          1.20823382 
    4.0000          6.76975182          3.81865004          3.02377062          2.23513025          1.98695264          1.33169207 
    4.2000          7.43880291          4.18666983          3.32103459          2.46319316          2.17986555          1.46026986 
    4.4000          8.13821371          4.57215892          3.63282914          2.70334210          2.38207902          1.59436577 
    4.6000          8.86938297          4.97558249          3.95902395          2.95339431          2.59409010          1.73275430 
    4.8000          9.62828397          5.39857291          4.29817243          3.21444237          2.81402408          1.87411425 
    5.0000         10.41613275          5.83708199          4.65144522          3.48621896          3.04266502          2.01839145 
    5.2000         11.23267978          6.28629254          5.01914558          3.76898364          3.27987180          2.16628083 
    5.4000         12.08210124          6.74923215          5.40333780          4.06315991          3.52528433          2.31700170 
    5.6000         12.96405830          7.22566183          5.80110617          4.36708265          3.77756087          2.47123748 
    5.8000         13.87631201          7.71964134          6.21097242          4.67901230          4.03685378          2.62854268 
    6.0000         14.82062176          8.23010166          6.63147400          5.00048644          4.30210636          2.79031463 
    6.2000         15.80072283          8.75415417          7.06384964          5.33036423          4.57206139          2.95632543 
    6.4000         16.82052642          9.29594441          7.50911379          5.66971890          4.84695316          3.12584230 
    6.6000         17.87154028          9.85301058          7.96622222          6.01795828          5.12819162          3.29970866 
    6.8000         18.95835016         10.42543217          8.43712462          6.37560731          5.41324275          3.47981859 
    7.0000         20.08206331         11.01675586          8.92095834          6.74365766          5.70094935          3.66519474 
    7.2000         21.24142563         11.62827042          9.41808265          7.12318899          5.99319598          3.85559650 
    7.4000         22.44022660         12.25958542          9.92847789          7.51389154          6.28936799          4.05023204 
    7.6000         23.66637561         12.91325412         10.45317349          7.91511661          6.59047993          4.24890844 
    7.8000         24.92907961         13.58564457         10.99110315          8.32627179          6.89682610          4.45174000 
    8.0000         26.22968133         14.28285330         11.54516421          8.74845998          7.21045235          4.65719672 
    8.2000         27.56852121         15.00020479         12.11544085          9.18059791          7.52922792          4.86681079 
    8.4000         28.93793771         15.73182372         12.70106004          9.62042635          7.85418720          5.08072824 
    8.6000         30.34392675         16.48094349         13.29884565         10.06993077          8.18653940          5.29782304 
    8.8000         31.78140419         17.24511672         13.91287674         10.52798585          8.52771960          5.51697744 
    9.0000         33.25417088         18.02652578         14.54184379         10.98948742          8.87588218          5.74043357 
    9.2000         34.75657910         18.82613503         15.18334589         11.45564863          9.23122984          5.96791266 
    9.4000         36.29190828         19.63541873         15.83628907         11.92566755          9.59271736          6.19761722 
    9.6000         37.85745434         20.45997343         16.50279941         12.40072164          9.96018001          6.42992734 
    9.8000         39.45620597         21.29769086         17.17911261         12.87878278         10.33096961          6.66513875 
   10.0000         41.07449647         22.15349583         17.86587118         13.35906420         10.70471005          6.90110058 
   10.2000         42.72172134         23.01795865         18.56094057         13.83727582         11.08205192          7.14024500 
   10.4000         44.39044063         23.89524732         19.26221648         14.31497131         11.45909877          7.38151970 
   10.6000         46.08266596         24.79007703         19.97431624         14.79394005         11.83629774          7.62515340 
   10.8000         47.80266871         25.69611727         20.69723859         15.27228114         12.21782031          7.87054236 
   11.0000         49.55471558         26.62106699         21.43117056         15.75192289         12.60344973          8.11621643 
   11.2000         51.33205251         27.56581617         22.18533687         16.23555980         12.99256643          8.36208060 
   11.4000         53.13471689         28.52855866         22.95396758         16.72376916         13.38703000          8.60853706 
   11.6000         54.96441124         29.51069965         23.73354026         17.21559287         13.78535885          8.85671720 
   11.8000         56.81790851         30.51644383         24.52593726         17.71186405         14.18946730          9.10824311 
   12.0000         58.68530252         31.54096777         25.32795327         18.21512639         14.59489478          9.36285825 
   12.2000         60.56518172         32.58323337         26.13912211         18.73125174         15.00327545          9.62078333 
   12.4000         62.47299073         33.64117815         26.96237706         19.25519466         15.41265204          9.88174341 
   12.6000         64.40740038         34.71014243         27.79947000         19.78981313         15.82484936         10.14594910 
   12.8000         66.36552855         35.78892193         28.65504456         20.34047588         16.24184080         10.41466261 
   13.0000         68.34801658         36.87340144         29.52671795         20.90345094         16.66490735         10.68606215 
   13.2000         70.36521783         37.96504572         30.41448585         21.47291122         17.09278707         10.96062949 
   13.4000         72.41265904         39.06767832         31.31490438         22.04695078         17.52592817         11.23851509 
   13.6000         74.46911217         40.18529754         32.22930639         22.62599363         17.96342373         11.51875764 
   13.8000         76.54259669         41.32047498         33.15685165         23.20704119         18.40472411         11.80172267 
   14.0000         78.63769976         42.46857157         34.09464127         23.78926134         18.84678557         12.08855126 
   14.2000         80.76128366         43.62266852         35.05100759         24.37195504         19.29168556         12.37901173 
   14.4000         82.91336237         44.78925718         36.02100267         24.95156400         19.74212704         12.67454600 
   14.6000         85.09739283         45.96353785         37.00624913         25.53354022         20.19608442         12.97348908 
   14.8000         87.30660509         47.14901083         38.00342565         26.11928296         20.65501796         13.27647717 
   15.0000         89.56048674         48.34558738         39.01353117         26.70917236         21.11542574         13.58061613 
   15.2000         91.83623677         49.55428243         40.03331839         27.30308265         21.58048512         13.88835509 
   15.4000         94.14260455         50.78035305         41.06052443         27.90219207         22.04891882         14.20188887 
   15.6000         96.47145596         52.02639036         42.09637688         28.50206661         22.51808011         14.51734135 
   15.8000         98.81097643         53.29291777         43.13821175         29.10627595         22.99267117         14.83410526 
   16.0000        101.17879109         54.58176727         44.19158576         29.71724616         23.47066880         15.15344608 
   16.2000        103.57233465         55.88764028         45.24729422         30.33922125         23.94809677         15.47132688 
   16.4000        105.98017441         57.21180009         46.30977128         30.97111832         24.42520961         15.79067916 
   16.6000        108.39581199         58.54944769         47.38502466         31.61089527         24.90117040         16.10853167 
   16.8000        110.83312496         59.90313580         48.46910920         32.25435300         25.37735901         16.42446687 
   17.0000        113.27830487         61.28273632         49.56032893         32.90634224         25.85896496         16.74175984 
   17.2000        115.72711901         62.67970753         50.65545332         33.55688933         26.34135729         17.06234793 
   17.4000        118.17363716         64.09186788         51.76702018         34.21355594         26.82586082         17.38446633 
   17.6000        120.63657074         65.52364009         52.90185338         34.87754938         27.31133748         17.71077206 
   17.8000        123.14128891         66.97142328         54.05163706         35.54872930         27.79700649         18.04125239 
   18.0000        125.68828298         68.43849673         55.21546902         36.22754622         28.28322055         18.37752980 
   18.2000        128.27068575         69.92417907         56.39539211         36.92228261         28.77172477         18.71749726 
   18.4000        130.88805440         71.43623223         57.58113021         37.63219538         29.26112976         19.06152495 
