    time (ps)       MSD(A2) @ 150K      MSD(A2) @ 200K      MSD(A2) @ 250K      MSD(A2) @ 300K      MSD(A2) @ 400K      MSD(A2) @ 500K        
    0.2000          0.05593729          0.04143748          0.02847509          0.02495699          0.01815202          0.01751199 
    0.4000          0.22357895          0.16424298          0.11365196          0.09997299          0.07299974          0.06999030 
    0.6000          0.50035091          0.36864556          0.25592640          0.22430707          0.16482581          0.15772189 
    0.8000          0.88470499          0.65466853          0.45558915          0.39800722          0.29345296          0.28047890 
    1.0000          1.37699134          1.02183391          0.71200229          0.61953124          0.45930640          0.43772244 
    1.2000          1.97181661          1.47136438          1.02671283          0.89010789          0.66183266          0.62928843 
    1.4000          2.66719009          1.99691362          1.39933293          1.21170751          0.90074417          0.85576071 
    1.6000          3.46626335          2.60405305          1.82913628          1.58301148          1.17382483          1.11601100 
    1.8000          4.36756091          3.29124776          2.31718924          2.00419303          1.48156670          1.41012847 
    2.0000          5.37723096          4.05872369          2.86121185          2.47581455          1.82482673          1.73724868 
    2.2000          6.48626962          4.91114880          3.46062515          2.99946535          2.20395784          2.09813532 
    2.4000          7.69710324          5.84200204          4.11360311          3.57133880          2.61790862          2.49149674 
    2.6000          9.01629253          6.84673189          4.81967226          4.19300384          3.06679640          2.91886114 
    2.8000         10.44438682          7.92364887          5.58658525          4.86374164          3.55664439          3.37627754 
    3.0000         11.97577311          9.07057691          6.40484231          5.58481197          4.08719787          3.86427877 
    3.2000         13.60062093         10.28647125          7.27374269          6.35526722          4.65610236          4.38436282 
    3.4000         15.33195369         11.58526469          8.19790397          7.17531687          5.25784141          4.93632063 
    3.6000         17.17576305         12.96638642          9.17486177          8.04512423          5.89055724          5.51735142 
    3.8000         19.12032449         14.42976114         10.20371774          8.96549989          6.55387961          6.12921122 
    4.0000         21.17114113         15.96380888         11.28928758          9.93761520          7.25337248          6.76975182 
    4.2000         23.34349947         17.57539011         12.43529772         10.95783346          7.98783068          7.43880291 
    4.4000         25.60763774         19.25671910         13.63591437         12.02420869          8.76247247          8.13821371 
    4.6000         27.94684865         21.01243350         14.88653923         13.14421212          9.58496861          8.86938297 
    4.8000         30.38085756         22.84618118         16.18667195         14.31158128         10.44742742          9.62828397 
    5.0000         32.91492301         24.75001557         17.53937565         15.53294130         11.34638881         10.41613275 
    5.2000         35.55275098         26.74131634         18.94828550         16.79937225         12.28380662         11.23267978 
    5.4000         38.29320190         28.81822868         20.42326056         18.11258510         13.25863111         12.08210124 
    5.6000         41.13029577         30.96688056         21.96735159         19.48139049         14.27024917         12.96405830 
    5.8000         44.07122792         33.16258619         23.57537034         20.89864994         15.32358590         13.87631201 
    6.0000         47.12770330         35.42925819         25.23944336         22.36993219         16.42383867         14.82062176 
    6.2000         50.28948447         37.75222811         26.96778976         23.89031800         17.56268155         15.80072283 
    6.4000         53.58210946         40.13044518         28.75537115         25.44793886         18.74114145         16.82052642 
    6.6000         57.00207596         42.57736401         30.59628265         27.04737700         19.95016114         17.87154028 
    6.8000         60.52445155         45.09261380         32.49208579         28.67401949         21.18976165         18.95835016 
    7.0000         64.16084339         47.66469672         34.45358875         30.33705001         22.45571150         20.08206331 
    7.2000         67.91298234         50.30364678         36.48245198         32.04289001         23.75107806         21.24142563 
    7.4000         71.76618991         53.01969817         38.58176433         33.79240421         25.08599382         22.44022660 
    7.6000         75.72215872         55.80459844         40.74741612         35.58282394         26.45081157         23.66637561 
    7.8000         79.74404993         58.66420432         42.97018399         37.41790961         27.85436148         24.92907961 
    8.0000         83.87301330         61.59056020         45.25328422         39.30506993         29.28080057         26.22968133 
    8.2000         88.10944746         64.58948419         47.60159168         41.23759014         30.74500093         27.56852121 
    8.4000         92.45637285         67.64969272         50.00244285         43.22119150         32.25145406         28.93793771 
    8.6000         96.93269190         70.77513285         52.46249186         45.23724059         33.79860245         30.34392675 
    8.8000        101.55023750         73.97872846         54.97599407         47.29729267         35.38187338         31.78140419 
    9.0000        106.31190229         77.25395383         57.54577756         49.40146849         36.98676688         33.25417088 
    9.2000        111.14551823         80.61672116         60.17736700         51.55141422         38.62821440         34.75657910 
    9.4000        116.10567059         84.06059478         62.84630024         53.72952624         40.30676323         36.29190828 
    9.6000        121.18501669         87.59661797         65.54464702         55.93080459         42.02153584         37.85745434 
    9.8000        126.38458394         91.21534487         68.31055966         58.18068807         43.76456286         39.45620597 
   10.0000        131.67749165         94.88789164         71.12765980         60.48476050         45.54280281         41.07449647 
   10.2000        137.07622841         98.64335348         74.01529450         62.83231480         47.35033572         42.72172134 
   10.4000        142.58820079        102.50801880         76.96536766         65.20622259         49.19495922         44.39044063 
   10.6000        148.20397224        106.44141002         79.97197772         67.61730355         51.06546110         46.08266596 
   10.8000        153.93271856        110.47463351         83.01796513         70.06046724         52.96620236         47.80266871 
   11.0000        159.77512397        114.60495439         86.11629716         72.54589805         54.88520368         49.55471558 
   11.2000        165.71417379        118.84324566         89.25386854         75.07937994         56.82101287         51.33205251 
   11.4000        171.77273366        123.17654865         92.42980901         77.66949596         58.78438259         53.13471689 
   11.6000        177.90153672        127.60541268         95.63511352         80.29222293         60.78826829         54.96441124 
   11.8000        184.08769564        132.10456869         98.88438813         82.95686938         62.81476240         56.81790851 
   12.0000        190.38655848        136.68087515        102.17322489         85.67547924         64.85911283         58.68530252 
   12.2000        196.76998903        141.34688746        105.51720505         88.44771397         66.92881793         60.56518172 
   12.4000        203.24458313        146.10450697        108.91251707         91.27633591         69.03548702         62.47299073 
   12.6000        209.85968388        150.91972674        112.33879272         94.15416401         71.17889191         64.40740038 
   12.8000        216.53253282        155.80094276        115.81562764         97.08181362         73.34860824         66.36552855 
   13.0000        223.25057985        160.74264158        119.35235497        100.05093286         75.54960990         68.34801658 
   13.2000        230.06334736        165.75575008        122.96244054        103.05494935         77.80210600         70.36521783 
   13.4000        236.97154421        170.85145172        126.60868765        106.10828149         80.08490828         72.41265904 
   13.6000        244.01213014        176.02011205        130.30367193        109.22681658         82.39656329         74.46911217 
   13.8000        251.13440402        181.23138622        134.04861289        112.38627490         84.74752048         76.54259669 
   14.0000        258.34948207        186.50759479        137.84720758        115.60243295         87.13143177         78.63769976 
   14.2000        265.68929589        191.87631147        141.67614669        118.86525245         89.55273316         80.76128366 
   14.4000        273.14612353        197.32213080        145.54860566        122.20715525         92.02238201         82.91336237 
   14.6000        280.69803313        202.86981833        149.47827107        125.62727747         94.52581401         85.09739283 
   14.8000        288.38549692        208.52462982        153.47761321        129.10148121         97.05791860         87.30660509 
   15.0000        296.18739484        214.23709718        157.55188864        132.60960962         99.61217443         89.56048674 
   15.2000        304.11371345        220.02089459        161.67837573        136.14462103        102.21072662         91.83623677 
   15.4000        312.14158104        225.89046119        165.83289639        139.71852354        104.84651169         94.14260455 
   15.6000        320.25042307        231.84010737        170.03144570        143.35723054        107.51736636         96.47145596 
   15.8000        328.41660737        237.87132740        174.29140038        147.05838985        110.23075254         98.81097643 
   16.0000        336.69848022        243.97713264        178.62882213        150.78792488        112.99040230        101.17879109 
   16.2000        345.04975098        250.16010676        183.01221215        154.56322265        115.79887534        103.57233465 
   16.4000        353.48993801        256.41741600        187.42482473        158.37253009        118.65430902        105.98017441 
   16.6000        362.08983834        262.74584931        191.89585901        162.22076513        121.56337880        108.39581199 
   16.8000        370.76093175        269.13393907        196.42267812        166.08785426        124.52905452        110.83312496 
   17.0000        379.46180850        275.60683903        200.99976776        169.97027608        127.52639184        113.27830487 
   17.2000        388.20994406        282.18292908        205.61641522        173.89917272        130.56804777        115.72711901 
   17.4000        397.05695094        288.79750239        210.26735889        177.88571547        133.65129856        118.17363716 
   17.6000        406.04621761        295.45991224        214.99268156        181.90312710        136.79832788        120.63657074 
   17.8000        415.16286246        302.17623187        219.78646910        185.95191929        139.97628855        123.14128891 
   18.0000        424.43205104        308.99263863        224.60698250        190.05015456        143.16287087        125.68828298 
   18.2000        433.84846330        315.89547065        229.48271453        194.19785826        146.36068728        128.27068575 
   18.4000        443.32982699        322.93093353        234.42082765        198.39884342        149.60135420        130.88805440 
   18.6000        452.86536725        330.08238125        239.42313653        202.61884673        152.85571240        133.55307678 
   18.8000        462.51409030        337.32649763        244.48845817        206.83306303        156.14516663        136.25979449 
   19.0000        472.25825833        344.62393727        249.62685923        211.10477195        159.46622072        139.00611688 
   19.2000        482.13545739        352.01323814        254.84198424        215.44173389        162.80427447        141.77992442 
   19.4000        492.14056052        359.47483043        260.14723682        219.80432894        166.17467126        144.57302036 
   19.6000        502.27334643        366.99339604        265.53169944        224.19624377        169.58291791        147.40400349 
   19.8000        512.45387839        374.55712300        270.97967215        228.60762712        173.01578144        150.24279345 
   20.0000        522.73770686        382.20393849        276.49040579        233.05120801        176.47496343        153.09158853 
   20.2000        533.13471133        389.88766878        282.04787530        237.53379028        179.97077654        155.96006164 
   20.4000        543.62591955        397.62302640        287.64392937        242.05335608        183.49528181        158.83838517 
   20.6000        554.17173524        405.41987757        293.28542381        246.59255436        187.05330586        161.72039594 
   20.8000        564.76509864        413.29208455        298.98135827        251.15444224        190.62768262        164.59492383 
   21.0000        575.42740246        421.23004978        304.67825866        255.71945825        194.23396057        167.45849389 
   21.2000        586.28220238        429.24280017        310.42462396        260.29624046        197.89481218        170.34408639 
   21.4000        597.27215809        437.31460763        316.22794356        264.87310834        201.56673964        173.26399964 
   21.6000        608.37695983        445.52427451        322.08040808        269.49504716        205.24063687        176.21044492 
   21.8000        619.53481240        453.78381070        328.01942944        274.17749236        208.94488170        179.19353385 
   22.0000        630.75425666        462.07735571        334.01153699        278.93461144        212.70015097        182.20998008 
   22.2000        642.07813630        470.48396158        340.03137376        283.74136423        216.50564880        185.24477653 
   22.4000        653.53845731        478.98828860        346.08036791        288.55945841        220.35235605        188.30711525 
   22.6000        665.04813439        487.58690469        352.18034344        293.38936628        224.23222008        191.40781398 
   22.8000        676.61663097        496.24764846        358.33126701        298.27825005        228.14823096        194.51527299 
   23.0000        688.28837191        504.91954464        364.50111083        303.23575983        232.09385301        197.64982186 
   23.2000        700.02334058        513.68845205        370.68860838        308.19510838        236.08352115        200.83433547 
   23.4000        711.90432649        522.54642248        376.88409957        313.16487879        240.08989576        204.06510018 
   23.6000        723.91751631        531.51166140        383.07774466        318.17887443        244.13549096        207.32024073 
   23.8000        735.95608887        540.62495979        389.27885822        323.19367684        248.22837948        210.61283350 
   24.0000        748.08574919        549.83753026        395.51212318        328.26247773        252.32195953        213.91646361 
   24.2000        760.30338776        559.09201094        401.80621624        333.40682055        256.43772147        217.23229440 
   24.4000        772.60291924        568.39670020        408.17418557        338.56879667        260.56702993        220.57096145 
   24.6000        784.88707623        577.72471566        414.56215321        343.80505377        264.75347268        223.90529168 
   24.8000        797.23689766        587.13814843        420.97486853        349.13175959        269.01369335        227.25932931 
   25.0000        809.73038412        596.62038922        427.43350298        354.50277413        273.28141571        230.64515489 
   25.2000        822.31658030        606.18406392        433.95207586        359.92616518        277.55264228        234.07091156 
   25.4000        835.02815746        615.84710742        440.53818928        365.39116310        281.86218235        237.51955091 
   25.6000        847.82082148        625.61780754        447.18831532        370.89621682        286.21480099        240.96396654 
   25.8000        860.66537266        635.47935279        453.88170308        376.46756896        290.60905596        244.41446894 
   26.0000        873.53110340        645.45939361        460.63186256        382.12619504        295.02777414        247.88593992 
   26.2000        886.43599158        655.50800459        467.40683491        387.86680373        299.45907493        251.37664213 
   26.4000        899.46817503        665.54741803        474.23859793        393.62157949        303.93411214        254.91000882 
   26.6000        912.54774181        675.69351975        481.14348285        399.38697727        308.42885882        258.45789108 
   26.8000        925.63247696        685.90503715        488.05378120        405.19224662        312.93433417        262.00987629 
   27.0000        938.75553682        696.17734326        495.00662263        411.04527455        317.45703684        265.58148393 
   27.2000        951.95863541        706.48853614        502.03631759        416.98406800        322.00359354        269.19383162 
   27.4000        965.08596584        716.80801049        509.10724924        422.97472048        326.59773227        272.84661794 
   27.6000        978.26999694        727.19479410        516.22430183        428.96303762        331.23618968        276.51830886 
   27.8000        991.40924856        737.64500227        523.39693447        434.96597376        335.88171008        280.22890025 
   28.0000       1004.58669767        748.17427312        530.58120083        441.01677593        340.58668804        283.96574365 
   28.2000       1017.84211452        758.63568155        537.76645688        447.15400867        345.28987799        287.68688918 
   28.4000       1031.18365689        769.15062430        544.96434120        453.34812666        350.02034448        291.37905560 
   28.6000       1044.66256623        779.74934874        552.19614457        459.57055661        354.75687420        295.06624076 
   28.8000       1058.15540393        790.43440093        559.46151630        465.81544960        359.51816144        298.78170989 
   29.0000       1071.68836554        801.19445200        566.76149399        472.07040648        364.29657786        302.51105431 
   29.2000       1085.29093981        812.03646093        574.12237628        478.37791149        369.10469868        306.23992768 
   29.4000       1098.98514618        822.95747342        581.55404089        484.71106720        373.95716554        309.97609996 
   29.6000       1112.81516321        833.94614425        589.06042977        491.09996406        378.85956056        313.73774584 
   29.8000       1126.66547002        844.99318523        596.65786339        497.52590315        383.77480165        317.53737131 
   30.0000       1140.53104965        856.10676002        604.37505810        504.00557226        388.70116613        321.36270284 
   30.2000       1154.44911833        867.33945959        612.11615730        510.56283301        393.65785429        325.24157449 
   30.4000       1168.46951453        878.68755330        619.85400659        517.18325946        398.65928637        329.19069992 
   30.6000       1182.48910688        890.16515943        627.60396274        523.90696880        403.68946846        333.15038750 
   30.8000       1196.51083201        901.71897295        635.42008516        530.72311526        408.74194074        337.09595614 
   31.0000       1210.57886040        913.34821992        643.35742097        537.61901896        413.86358174        341.05229235 
   31.2000       1224.76697290        925.07933812        651.36448383        544.55005642        419.02231942        345.02887453 
   31.4000       1239.09785925        936.95669573        659.39167222        551.48897468        424.20317276        349.02829143 
   31.6000       1253.59957096        948.95282697        667.46437816        558.48722584        429.41504817        353.05056331 
   31.8000       1268.21119421        961.02238328        675.58045320        565.53682744        434.67574223        357.08863620 
   32.0000       1282.80634124        973.16285455        683.73663806        572.61885463        439.96354740        361.14628719 
   32.2000       1297.46224697        985.44392488        691.96955703        579.74261270        445.32905595        365.24152861 
   32.4000       1312.21730815        997.91037582        700.24670667        586.89478872        450.77168840        369.33696979 
   32.6000       1327.03342702       1010.44651621        708.59205872        594.04880192        456.24269683        373.45161216 
   32.8000       1341.93855459       1023.00940637        717.01143850        601.17692559        461.75073009        377.57530932 
   33.0000       1356.86362562       1035.60208370        725.52409256        608.32315180        467.27607422        381.67454707 
   33.2000       1371.80241626       1048.28228540        734.10690327        615.51170541        472.82708359        385.74111027 
   33.4000       1386.74307347       1061.07351291        742.70476351        622.73462393        478.40675138        389.83904348 
   33.6000       1401.86662227       1073.94428236        751.32747689        629.99405669        483.98153377        393.94325228 
   33.8000       1417.12375499       1086.92510383        760.05553698        637.26789259        489.56737545        398.09135001 
   34.0000       1432.39178075       1100.07343504        768.83245245        644.55492795        495.16489074        402.23726965 
   34.2000       1447.74423671       1113.26324381        777.68519717        651.89101871        500.77513905        406.40752315 
   34.4000       1463.21709434       1126.54156712        786.67299473        659.27537000        506.42355486        410.57400518 
   34.6000       1478.67458860       1139.91740815        795.73231028        666.71057525        512.10892914        414.78562230 
   34.8000       1494.08348867       1153.28600549        804.82476174        674.16173497        517.79583590        419.06546709 
   35.0000       1509.48607641       1166.65901628        813.95050385        681.62967911        523.46979744        423.39572666 
   35.2000       1524.95807019       1179.99498210        823.12965053        689.15654928        529.16330058        427.76319360 
   35.4000       1540.68329315       1193.39205637        832.34524278        696.72324668        534.86828685        432.16664880 
   35.6000       1556.55128483       1206.81531652        841.58875462        704.25146641        540.57015003        436.63811867 
   35.8000       1572.52452958       1220.28559649        850.96446383        711.79209078        546.26239784        441.15941616 
   36.0000       1588.61780567       1233.83599030        860.35545830        719.34251283        551.95172948        445.75238578 
   36.2000       1604.81718539       1247.35927510        869.76156046        726.92948273        557.64709528        450.37951605 
   36.4000       1621.15781782       1260.88442536        879.27020835        734.54295947        563.35832652        455.02541843 
   36.6000       1637.54803249       1274.47234336        888.81523668        742.23503551        569.09194657        459.68729072 
   36.8000       1653.87288271       1288.19497528        898.37067962        750.03582215        574.83591943        464.34216767 
   37.0000       1670.21913928       1301.99580325        907.92113431        757.85331715        580.63682686        468.98806397 
   37.2000       1686.57454169       1315.87215471        917.50212987        765.69389996        586.44255044        473.63467770 
   37.4000       1703.18759442       1329.77671007        927.13091369        773.53377252        592.28097462        478.27789231 
   37.6000       1719.88201317       1343.76527392        936.81412921        781.38019153        598.16113272        482.93281824 
   37.8000       1736.69706955       1357.83599085        946.56182643        789.27010927        604.06501232        487.58884471 
   38.0000       1753.63092647       1371.95699218        956.36489113        797.24270434        610.03985638        492.26047653 
   38.2000       1770.64697661       1386.11233578        966.26738693        805.29213673        616.08149121        496.94067268 
   38.4000       1787.68947017       1400.35804927        976.23732853        813.38590025        622.12616571        501.64370995 
   38.6000       1804.92848596       1414.79773990        986.35267036        821.59112485        628.20654007        506.36582509 
   38.8000       1822.51875646       1429.27010530        996.64111754        829.87840551        634.28709694        511.09231980 
   39.0000       1840.08136205       1443.83618779       1007.06769754        838.20179666        640.37775996        515.81874256 
   39.2000       1857.68659337       1458.64747739       1017.55950044        846.54161722        646.52032896        520.58859679 
   39.4000       1875.40355371       1473.58898747       1028.10305020        854.96587850        652.73827422        525.36356234 
   39.6000       1893.20777583       1488.55925721       1038.59930070        863.48292443        658.99660009        530.15667184 
   39.8000       1911.22445177       1503.54639892       1049.14285139        872.13277280        665.28660321        534.97312250 
   40.0000       1929.43550905       1518.63921599       1059.78379217        880.83427978        671.58924700        539.81730902 
   40.2000       1947.82064884       1533.71409427       1070.51569864        889.52782180        677.91375272        544.70613529 
   40.4000       1966.34657962       1548.91655880       1081.30793591        898.19925601        684.25129951        549.65324793 
   40.6000       1984.85205942       1564.18015102       1092.18273568        906.88238265        690.59687180        554.60094466 
   40.8000       2003.46648353       1579.47899809       1103.09609415        915.52218411        697.05193070        559.54251957 
   41.0000       2022.11538832       1594.79879302       1113.99876353        924.12457507        703.54752746        564.51885017 
   41.2000       2040.80079781       1610.25501403       1124.93061647        932.79926626        710.08147763        569.53266786 
   41.4000       2059.62177746       1625.82109273       1135.96796765        941.55555728        716.60777851        574.61997391 
   41.6000       2078.69435105       1641.44531169       1147.12826286        950.32547258        723.10299520        579.73446516 
   41.8000       2097.89079046       1657.00868702       1158.33662870        959.11145116        729.57483783        584.84825840 
   42.0000       2117.13549315       1672.51075916       1169.56376732        967.93768714        736.04701304        589.94170736 
   42.2000       2136.29723704       1688.09043217       1180.85573838        976.87587427        742.50855608        595.04030278 
   42.4000       2155.39345244       1703.64570037       1192.17886187        985.84284439        749.00186121        600.14677380 
   42.6000       2174.55379423       1719.29021684       1203.53773899        994.76209549        755.53180266        605.24746264 
   42.8000       2193.76040523       1734.93591454       1215.00034817       1003.66721340        762.07498018        610.34481425 
   43.0000       2212.93566858       1750.60808282       1226.50947933       1012.54845906        768.59603440        615.48787785 
   43.2000       2232.03050326       1766.37565918       1238.04678562       1021.38852739        775.12326885        620.68933173 
   43.4000       2251.22698915       1782.30286031       1249.57843543       1030.17440947        781.65904294        625.95112288 
   43.6000       2270.55730637       1798.33881214       1261.10898573       1039.02956120        788.21669477        631.24515613 
   43.8000       2289.88047013       1814.45547251       1272.71141323       1047.91239609        794.80357907        636.54525970 
   44.0000       2309.27312890       1830.60327079       1284.33730996       1056.79491874        801.43524213        641.82938951 
   44.2000       2328.69939278       1846.89679395       1296.00314808       1065.79023074        808.07253921        647.09450358 
   44.4000       2348.19175018       1863.25908867       1307.62672797       1074.88834935        814.72224643        652.34626782 
   44.6000       2367.72306103       1879.63342826       1319.28737724       1084.09145861        821.38706957        657.61327604 
   44.8000       2387.23635585       1896.04756787       1330.96406397       1093.41540800        828.12061116        662.92311923 
   45.0000       2406.75717066       1912.51125038       1342.78044391       1102.82995315        834.88235821        668.27820202 
   45.2000       2426.32393614       1929.11366096       1354.62878852       1112.24854242        841.60386058        673.67805717 
   45.4000       2445.89935960       1945.67282658       1366.49093851       1121.70221282        848.38960008        679.12057654 
   45.6000       2465.46783744       1962.22408156       1378.32883455       1131.16956357        855.22204599        684.55660874 
   45.8000       2485.19442420       1978.87326695       1390.20646303       1140.69162590        862.06680843        689.99578097 
   46.0000       2504.92300246       1995.70570938       1402.20480712       1150.23869738        868.91198232        695.40182269 
   46.2000       2524.70195002       2012.54205830       1414.26788440       1159.79625801        875.83515447        700.76532099 
   46.4000       2544.65871510       2029.44614009       1426.33908309       1169.42789068        882.74687715        706.11300213 
   46.6000       2564.67821245       2046.29411284       1438.40426725       1179.08862698        889.66432791        711.42682480 
   46.8000       2584.72397884       2063.13170498       1450.43171742       1188.80511688        896.61606232        716.75681273 
   47.0000       2604.94891492       2079.96604465       1462.44879327       1198.54969526        903.59780544        722.12775640 
   47.2000       2625.28213501       2096.85883059       1474.46568928       1208.40403258        910.59068571        727.55799627 
