   log t (ps)      log MSD(A2)@ 5 K     log MSD(A2)@ 10 K   log MSD(A2)@ 20 K   log MSD(A2)@ 30 K   log MSD(A2)@ 60 K   log MSD(A2)@ 100 K  log MSD(A2)@ 300 K  log MSD(A2)@ 500 K    
   -0.6990         -1.25229856         -1.54553484         -1.98216698         -2.25896051         -2.63024607         -2.69863330         -2.92527530         -3.19491140 
   -0.3979         -0.65056908         -0.94442309         -1.38322692         -1.65575705         -2.03054323         -2.09471724         -2.31985979         -2.59318773 
   -0.2218         -0.30072531         -0.59188492         -1.03436609         -1.30131908         -1.68126008         -1.74154319         -1.96507264         -2.24227395 
   -0.0969         -0.05320152         -0.34142662         -0.78731231         -1.04917246         -1.43379938         -1.49131015         -1.71406888         -1.99424661 
    0.0000          0.13893121         -0.14751861         -0.59541015         -0.85337401         -1.24182594         -1.29777455         -1.52076758         -1.80332302 
    0.0792          0.29486652          0.01144899         -0.43871223         -0.69409365         -1.08549857         -1.14006323         -1.36411444         -1.64779096 
    0.1461          0.42605397          0.14592106         -0.30571315         -0.56125003         -0.95367869         -1.00678301         -1.23368268         -1.51693566 
    0.2041          0.53986155          0.26224606         -0.19069028         -0.44573644         -0.83939914         -0.89175476         -1.12139905         -1.40484579 
    0.2553          0.64023897          0.36496150         -0.08981300         -0.34324636         -0.73806442         -0.79125337         -1.02355035         -1.30674083 
    0.3010          0.73055869          0.45655001         -0.00005772         -0.25208705         -0.64720021         -0.70190258         -0.93695274         -1.22011331 
    0.3424          0.81199500          0.53915456          0.08078305         -0.16956679         -0.56492253         -0.62149183         -0.85958748         -1.14254705 
    0.3802          0.88632731          0.61422239          0.15485341         -0.09432071         -0.49011303         -0.54867866         -0.79023840         -1.07222608 
    0.4150          0.95502799          0.68301751          0.22274122         -0.02514169         -0.42174608         -0.48215572         -0.72719503         -1.00761960 
    0.4472          1.01888295          0.74714643          0.28519802          0.03922323         -0.35799889         -0.42124274         -0.66939358         -0.94783889 
