    1/T (1/K)      SLG: lnD (A2/ps)    DLG: lnD (A2/ps)    FLG: lnD (A2/ps)
    0.2000         -6.14756395         -4.88602188         -5.09591257 
    0.1000         -3.36982391         -3.65776299         -3.51333640 
    0.0500         -2.79448607         -2.54524591         -2.29739703 
    0.0333         -1.37954162         -1.22997906         -0.96362903 
    0.0286          0.40527518         -1.45508392         -0.50249962 
    0.0200          0.55555837          0.08017638         -0.05050386 
    0.0167         -0.00465629          1.22569679          0.35627515 
    0.0133          1.89962471          1.66200001          1.08869392 
    0.0100          1.91467220          2.20214829          2.11181833 
    0.0067          3.20977432          2.70945545          3.03280812 
    0.0050          2.85040575          3.55288573          3.55326912 
    0.0040          3.22957385          4.03743133          3.83463066 
    0.0033          3.93742063          4.13509098          3.83044343 
    0.0025          4.60843393          4.35855369          4.03730534 
    0.0020          5.05986013          4.99704061          4.79038842 
