Temperature(K)   SLG: Alfa           DLG: Alfa           FLG: Alfa
    1.0          0.05425034          0.26335763          1.13060404 
    5.0          0.65481232          0.65964026          0.98844797 
   10.0          0.95532960          0.90410806          0.95286561 
   20.0          0.84639219          0.73310853          1.18522169 
   30.0          0.74588684          1.03796784          1.10799386 
   35.0          0.92618455          1.18961517          1.09207933 
   50.0          0.89602661          1.17148015          1.06811202 
   60.0          1.04518855          1.18893786          1.15503005 
   75.0          1.18857425          1.41403681          1.35545235 
  100.0          1.42928090          1.39569650          1.41228208 
  150.0          1.43446536          1.50857348          1.34140527 
  200.0          1.57857317          1.51016690          1.36960814 
  250.0          1.65337041          1.70442269          1.62648854 
  300.0          1.61398331          1.66777398          1.69201495 
  400.0          1.66612293          1.67875850          1.74935285 
  500.0          1.74922201          1.68691048          1.76159303 
