Interaction Energy (eV) based on different positions during horizontal rotation around x axis
rotation Degree     point 1             point 2             point 3             point 4             point 5
    0.0000         -0.61982512         -0.62888112         -0.61054439         -0.62096091         -0.62819392 
    1.0000         -0.61863687         -0.62890828         -0.61077333         -0.62117689         -0.62828872 
    2.0000         -0.61762877         -0.62925708         -0.61165022         -0.62170957         -0.62829628 
    3.0000         -0.61706757         -0.62968052         -0.61300629         -0.62260123         -0.62837725 
    4.0000         -0.61679296         -0.63022893         -0.61476676         -0.62389141         -0.62859472 
    5.0000         -0.61688111         -0.63093443         -0.61684261         -0.62550189         -0.62887265 
    6.0000         -0.61745571         -0.63174142         -0.61923354         -0.62732557         -0.62926360 
    7.0000         -0.61833676         -0.63265194         -0.62186266         -0.62933483         -0.62967930 
    8.0000         -0.61961872         -0.63365614         -0.62467945         -0.63138271         -0.63014242 
    9.0000         -0.62117592         -0.63476222         -0.62764378         -0.63359321         -0.63063153 
   10.0000         -0.62299737         -0.63593293         -0.63062016         -0.63577802         -0.63119134 
   11.0000         -0.62497652         -0.63720455         -0.63361743         -0.63797579         -0.63183285 
   12.0000         -0.62716947         -0.63840774         -0.63642268         -0.64010852         -0.63246324 
   13.0000         -0.62941971         -0.63958689         -0.63908051         -0.64215683         -0.63321437 
   14.0000         -0.63169173         -0.64076026         -0.64153309         -0.64404813         -0.63392673 
   15.0000         -0.63383397         -0.64172835         -0.64357208         -0.64571241         -0.63450611 
   16.0000         -0.63599936         -0.64259564         -0.64535488         -0.64718445         -0.63514632 
   17.0000         -0.63790197         -0.64329828         -0.64675660         -0.64849953         -0.63576200 
   18.0000         -0.63957880         -0.64389009         -0.64789613         -0.64945289         -0.63614005 
   19.0000         -0.64101687         -0.64438007         -0.64876976         -0.65006382         -0.63636946 
   20.0000         -0.64223304         -0.64466981         -0.64917761         -0.65040557         -0.63648410 
   21.0000         -0.64324819         -0.64476593         -0.64928392         -0.65044456         -0.63649506 
   22.0000         -0.64398194         -0.64468706         -0.64896978         -0.65033991         -0.63643975 
   23.0000         -0.64444932         -0.64436174         -0.64824956         -0.64996051         -0.63627223 
   24.0000         -0.64454165         -0.64387770         -0.64725037         -0.64919940         -0.63595266 
   25.0000         -0.64440156         -0.64326407         -0.64599677         -0.64812340         -0.63542600 
   26.0000         -0.64395708         -0.64250658         -0.64439606         -0.64679625         -0.63478166 
   27.0000         -0.64322973         -0.64164936         -0.64246146         -0.64528389         -0.63407060 
   28.0000         -0.64223298         -0.64063878         -0.64020072         -0.64358704         -0.63330435 
   29.0000         -0.64103023         -0.63954707         -0.63771695         -0.64166552         -0.63257258 
   30.0000         -0.63970738         -0.63836152         -0.63495177         -0.63963286         -0.63175551 
   31.0000         -0.63814362         -0.63706411         -0.63204273         -0.63753619         -0.63097715 
   32.0000         -0.63638906         -0.63590454         -0.62919265         -0.63535482         -0.63022741 
   33.0000         -0.63447710         -0.63466499         -0.62618345         -0.63309758         -0.62946459 
   34.0000         -0.63248393         -0.63340235         -0.62319869         -0.63087424         -0.62880172 
   35.0000         -0.63042854         -0.63222304         -0.62034576         -0.62878120         -0.62808092 
   36.0000         -0.62831262         -0.63114940         -0.61766568         -0.62682464         -0.62746955 
   37.0000         -0.62610005         -0.63007681         -0.61520467         -0.62495947         -0.62676650 
   38.0000         -0.62377682         -0.62908188         -0.61299442         -0.62330963         -0.62608757 
   39.0000         -0.62159153         -0.62815643         -0.61122892         -0.62186932         -0.62540896 
   40.0000         -0.61939560         -0.62736728         -0.60971275         -0.62070959         -0.62465764 
   41.0000         -0.61739996         -0.62670389         -0.60868221         -0.61982936         -0.62403132 
   42.0000         -0.61554642         -0.62607422         -0.60802220         -0.61923843         -0.62336559 
   43.0000         -0.61387411         -0.62556983         -0.60785837         -0.61896939         -0.62274976 
   44.0000         -0.61246453         -0.62515512         -0.60812270         -0.61890924         -0.62215429 
   45.0000         -0.61130486         -0.62486526         -0.60871157         -0.61914452         -0.62156075 
   46.0000         -0.61048477         -0.62467287         -0.60967985         -0.61953618         -0.62097162 
   47.0000         -0.60988588         -0.62444116         -0.61072594         -0.62017312         -0.62038078 
   48.0000         -0.60957839         -0.62424562         -0.61208866         -0.62090464         -0.61975065 
   49.0000         -0.60957275         -0.62407511         -0.61359788         -0.62174469         -0.61913520 
   50.0000         -0.60988017         -0.62395869         -0.61524187         -0.62264795         -0.61863765 
   51.0000         -0.61039593         -0.62389859         -0.61698496         -0.62346088         -0.61797457 
   52.0000         -0.61108981         -0.62376641         -0.61867505         -0.62425045         -0.61734600 
   53.0000         -0.61196789         -0.62362415         -0.62028688         -0.62517809         -0.61696283 
   54.0000         -0.61295498         -0.62344641         -0.62184213         -0.62593344         -0.61646003 
   55.0000         -0.61407722         -0.62323478         -0.62319757         -0.62663306         -0.61606602 
   56.0000         -0.61527481         -0.62295914         -0.62447455         -0.62721651         -0.61570418 
   57.0000         -0.61647199         -0.62260334         -0.62549207         -0.62764847         -0.61538071 
   58.0000         -0.61767632         -0.62226628         -0.62634371         -0.62794641         -0.61510575 
   59.0000         -0.61896728         -0.62187664         -0.62699796         -0.62802626         -0.61484182 
   60.0000         -0.62018930         -0.62148972         -0.62743414         -0.62791251         -0.61462619 
   61.0000         -0.62137781         -0.62112041         -0.62774394         -0.62760332         -0.61451864 
   62.0000         -0.62257809         -0.62068806         -0.62774468         -0.62710577         -0.61445312 
   63.0000         -0.62377281         -0.62034632         -0.62750571         -0.62652998         -0.61460188 
   64.0000         -0.62493396         -0.61992214         -0.62698212         -0.62581073         -0.61497691 
   65.0000         -0.62592407         -0.61966270         -0.62632418         -0.62494445         -0.61553591 
   66.0000         -0.62674256         -0.61944078         -0.62543100         -0.62396036         -0.61627825 
   67.0000         -0.62754749         -0.61941479         -0.62449548         -0.62285545         -0.61718564 
   68.0000         -0.62809093         -0.61946439         -0.62333038         -0.62161958         -0.61825880 
   69.0000         -0.62848480         -0.61954282         -0.62207679         -0.62032134         -0.61952591 
   70.0000         -0.62864695         -0.61959731         -0.62068587         -0.61904021         -0.62087607 
   71.0000         -0.62864701         -0.61976175         -0.61933457         -0.61783517         -0.62235597 
   72.0000         -0.62858255         -0.62001736         -0.61801744         -0.61664983         -0.62390476 
   73.0000         -0.62823276         -0.62027336         -0.61692050         -0.61564307         -0.62547148 
   74.0000         -0.62771427         -0.62066506         -0.61607017         -0.61474376         -0.62693460 
   75.0000         -0.62706467         -0.62094635         -0.61541995         -0.61386845         -0.62815448 
   76.0000         -0.62632285         -0.62117342         -0.61513800         -0.61333832         -0.62929433 
   77.0000         -0.62554596         -0.62146648         -0.61520150         -0.61316798         -0.63027339 
   78.0000         -0.62474115         -0.62156769         -0.61564824         -0.61316196         -0.63092414 
   79.0000         -0.62399660         -0.62155808         -0.61641579         -0.61345272         -0.63132216 
   80.0000         -0.62336149         -0.62153311         -0.61754808         -0.61398339         -0.63146841 
   81.0000         -0.62290934         -0.62141691         -0.61895876         -0.61470736         -0.63132916 
   82.0000         -0.62257786         -0.62123309         -0.62062866         -0.61559459         -0.63098535 
   83.0000         -0.62257754         -0.62095094         -0.62242154         -0.61660940         -0.63052258 
