Interaction Energy (eV) based on different positions during vertical rotation around z axis
C60 pentagone-down orientation
rotation Degree     point 1             point 2             point 3             point 4             point 5
    0.0000         -0.61767632         -0.62226628         -0.62634371         -0.62794641         -0.61510575 
    1.0000         -0.61771149         -0.62205035         -0.62638383         -0.62792564         -0.61506501 
    2.0000         -0.61773306         -0.62185528         -0.62638930         -0.62788017         -0.61503797 
    3.0000         -0.61781550         -0.62166310         -0.62640984         -0.62791421         -0.61504471 
    4.0000         -0.61793883         -0.62147117         -0.62637743         -0.62791360         -0.61508034 
    5.0000         -0.61805283         -0.62127614         -0.62640993         -0.62793845         -0.61513051 
    6.0000         -0.61820637         -0.62106446         -0.62640809         -0.62792514         -0.61512077 
    7.0000         -0.61834359         -0.62087721         -0.62639232         -0.62794748         -0.61511085 
    8.0000         -0.61847291         -0.62069556         -0.62640181         -0.62795133         -0.61508580 
    9.0000         -0.61866797         -0.62054099         -0.62641139         -0.62791108         -0.61501102 
   10.0000         -0.61888294         -0.62042005         -0.62644160         -0.62788078         -0.61498515 
   11.0000         -0.61905185         -0.62031445         -0.62651314         -0.62795960         -0.61503309 
   12.0000         -0.61928224         -0.62023475         -0.62653089         -0.62795370         -0.61505547 
   13.0000         -0.61946813         -0.62011693         -0.62649412         -0.62795661         -0.61500714 
   14.0000         -0.61967773         -0.62002611         -0.62651724         -0.62793913         -0.61495336 
   15.0000         -0.61984954         -0.61991439         -0.62655680         -0.62793100         -0.61496878 
   16.0000         -0.62004166         -0.61987685         -0.62657335         -0.62794230         -0.61498411 
   17.0000         -0.62024775         -0.61982900         -0.62655579         -0.62795878         -0.61502993 
   18.0000         -0.62044054         -0.61976603         -0.62650986         -0.62793161         -0.61501669 
   19.0000         -0.62065831         -0.61982239         -0.62656937         -0.62797880         -0.61501415 
   20.0000         -0.62090523         -0.61982890         -0.62658514         -0.62795771         -0.61498757 
   21.0000         -0.62120904         -0.61991923         -0.62667108         -0.62796661         -0.61492728 
   22.0000         -0.62137848         -0.62002966         -0.62667874         -0.62794974         -0.61491180 
   23.0000         -0.62166659         -0.62009505         -0.62665764         -0.62798153         -0.61492641 
   24.0000         -0.62186740         -0.62021738         -0.62670579         -0.62799273         -0.61497121 
   25.0000         -0.62200360         -0.62029204         -0.62670827         -0.62796796         -0.61492653 
   26.0000         -0.62217310         -0.62038295         -0.62666532         -0.62794244         -0.61492199 
   27.0000         -0.62236998         -0.62048004         -0.62664783         -0.62795650         -0.61489310 
   28.0000         -0.62252215         -0.62063642         -0.62664959         -0.62794511         -0.61495425 
   29.0000         -0.62270265         -0.62082554         -0.62668460         -0.62798342         -0.61499208 
   30.0000         -0.62290126         -0.62100146         -0.62669376         -0.62794328         -0.61497648 
   31.0000         -0.62302214         -0.62121265         -0.62671703         -0.62798342         -0.61499209 
   32.0000         -0.62316861         -0.62141333         -0.62671949         -0.62794512         -0.61495427 
   33.0000         -0.62325518         -0.62159668         -0.62673014         -0.62795652         -0.61489312 
   34.0000         -0.62329632         -0.62178565         -0.62673516         -0.62794246         -0.61492202 
   35.0000         -0.62335625         -0.62200852         -0.62672349         -0.62796798         -0.61492657 
   36.0000         -0.62335510         -0.62219361         -0.62666516         -0.62799275         -0.61497126 
   37.0000         -0.62334796         -0.62246373         -0.62672487         -0.62798156         -0.61492646 
   38.0000         -0.62332963         -0.62269195         -0.62675756         -0.62794977         -0.61491186 
   39.0000         -0.62330970         -0.62291244         -0.62675385         -0.62796664         -0.61492735 
   40.0000         -0.62322437         -0.62311381         -0.62678923         -0.62795774         -0.61498765 
   41.0000         -0.62310386         -0.62334342         -0.62676317         -0.62797884         -0.61501423 
   42.0000         -0.62296376         -0.62356484         -0.62675560         -0.62793165         -0.61501677 
   43.0000         -0.62280513         -0.62371194         -0.62673710         -0.62795882         -0.61503002 
   44.0000         -0.62265418         -0.62388219         -0.62673687         -0.62794234         -0.61498420 
   45.0000         -0.62252130         -0.62407419         -0.62673997         -0.62793105         -0.61496888 
   46.0000         -0.62230838         -0.62427278         -0.62677709         -0.62793918         -0.61495345 
   47.0000         -0.62218178         -0.62448144         -0.62682424         -0.62795665         -0.61500724 
