Interaction Energy (eV) based on different positions during vertical rotation around z axis
C60 hexagone-down orientation
rotation Degree     point 1             point 2             point 3             point 4             point 5
    0.0000         -0.64324819         -0.64476593         -0.64928392         -0.65044456         -0.63649506 
    1.0000         -0.64330646         -0.64473772         -0.64923945         -0.65048056         -0.63653344 
    2.0000         -0.64332168         -0.64473257         -0.64924050         -0.65054973         -0.63666849 
    3.0000         -0.64330946         -0.64472009         -0.64923247         -0.65063303         -0.63684618 
    4.0000         -0.64334883         -0.64472086         -0.64919113         -0.65061294         -0.63694694 
    5.0000         -0.64336958         -0.64472953         -0.64916587         -0.65053822         -0.63700405 
    6.0000         -0.64342172         -0.64478574         -0.64917749         -0.65046385         -0.63713014 
    7.0000         -0.64348475         -0.64479987         -0.64912647         -0.65051943         -0.63731862 
    8.0000         -0.64353866         -0.64481230         -0.64908884         -0.65045288         -0.63747894 
    9.0000         -0.64363766         -0.64478807         -0.64902562         -0.65037931         -0.63768374 
   10.0000         -0.64366661         -0.64484074         -0.64897672         -0.65042762         -0.63795910 
   11.0000         -0.64378863         -0.64487507         -0.64892385         -0.65031085         -0.63825264 
   12.0000         -0.64384863         -0.64492559         -0.64887162         -0.65027278         -0.63855230 
   13.0000         -0.64389047         -0.64499707         -0.64880636         -0.65017078         -0.63876978 
   14.0000         -0.64396904         -0.64504028         -0.64880432         -0.65013001         -0.63907305 
   15.0000         -0.64404357         -0.64502952         -0.64870241         -0.65017012         -0.63931927 
   16.0000         -0.64412287         -0.64503415         -0.64861984         -0.65000987         -0.63949256 
   17.0000         -0.64418184         -0.64504904         -0.64847325         -0.64992739         -0.63972156 
   18.0000         -0.64420025         -0.64502443         -0.64834347         -0.64980014         -0.63999918 
   19.0000         -0.64427625         -0.64508418         -0.64827697         -0.64970969         -0.64022290 
   20.0000         -0.64431917         -0.64509365         -0.64818944         -0.64953331         -0.64040073 
   21.0000         -0.64434323         -0.64511049         -0.64813138         -0.64946926         -0.64064416 
   22.0000         -0.64440823         -0.64518996         -0.64804848         -0.64944921         -0.64084104 
