#Graphite3layer & C60 12*12 Data file for LAMMPS

		11428  atoms

		3  atom types

		
		-60.1741		60.1739 	xlo xhi
		-61.4477		61.9203 	ylo yhi
		-60 			60	 	zlo zhi

Masses

		1     12.011   # Grapgite	(Nose_Hoover)
		2     12.011   # Graphene	(Nose_Hoover)		
		3     12.011   # C60		(Nose_Hoover)

Atoms

 1 1 -58.3311 -61.4467 -3.35001
 2 1 -59.5591 -60.7377 -3.35001
 3 1 -59.5591 -59.3197 -3.35001
 4 1 -58.3311 -58.6107 -3.35001
 5 1 -55.8751 -61.4467 -3.35001
 6 1 -57.1031 -60.7377 -3.35001
 7 1 -57.1031 -59.3197 -3.35001
 8 1 -55.8751 -58.6107 -3.35001
 9 1 -53.419 -61.4467 -3.35001
 10 1 -54.647 -60.7377 -3.35001
 11 1 -54.647 -59.3197 -3.35001
 12 1 -53.419 -58.6107 -3.35001
 13 1 -50.963 -61.4467 -3.35001
 14 1 -52.191 -60.7377 -3.35001
 15 1 -52.191 -59.3197 -3.35001
 16 1 -50.963 -58.6107 -3.35001
 17 1 -48.5069 -61.4467 -3.35001
 18 1 -49.7349 -60.7377 -3.35001
 19 1 -49.7349 -59.3197 -3.35001
 20 1 -48.5069 -58.6107 -3.35001
 21 1 -46.0509 -61.4467 -3.35001
 22 1 -47.2789 -60.7377 -3.35001
 23 1 -47.2789 -59.3197 -3.35001
 24 1 -46.0509 -58.6107 -3.35001
 25 1 -43.5948 -61.4467 -3.35001
 26 1 -44.8228 -60.7377 -3.35001
 27 1 -44.8228 -59.3197 -3.35001
 28 1 -43.5948 -58.6107 -3.35001
 29 1 -41.1388 -61.4467 -3.35001
 30 1 -42.3668 -60.7377 -3.35001
 31 1 -42.3668 -59.3197 -3.35001
 32 1 -41.1388 -58.6107 -3.35001
 33 1 -38.6827 -61.4467 -3.35001
 34 1 -39.9107 -60.7377 -3.35001
 35 1 -39.9107 -59.3197 -3.35001
 36 1 -38.6827 -58.6107 -3.35001
 37 1 -36.2267 -61.4467 -3.35001
 38 1 -37.4547 -60.7377 -3.35001
 39 1 -37.4547 -59.3197 -3.35001
 40 1 -36.2267 -58.6107 -3.35001
 41 1 -33.7706 -61.4467 -3.35001
 42 1 -34.9986 -60.7377 -3.35001
 43 1 -34.9986 -59.3197 -3.35001
 44 1 -33.7706 -58.6107 -3.35001
