#Graphene & C60 12*12 Data file for LAMMPS

		5744  atoms

		2  atom types

		
		-60.174		60.174 	xlo xhi
		-61.684		61.684 	ylo yhi
		-60 		60	 	zlo zhi

Masses

		1     12.011   # Graphene	(Nose_Hoover)
		2     12.011   # C60		(Nose_Hoover)

Atoms

1	1	-58.3311411020405	-60.9739999655181	0
2	1	-59.5591651020405	-60.2649999655181	0
3	1	-59.5591651020405	-58.8469999655181	0
4	1	-58.3311411020405	-58.1379999655181	0
5	1	-55.8750931020405	-60.9739999655181	0
6	1	-57.1031171020405	-60.2649999655181	0
7	1	-57.1031171020405	-58.8469999655181	0
8	1	-55.8750931020405	-58.1379999655181	0
9	1	-53.4190451020405	-60.9739999655181	0
10	1	-54.6470691020405	-60.2649999655181	0
11	1	-54.6470691020405	-58.8469999655181	0
12	1	-53.4190451020405	-58.1379999655181	0
13	1	-50.9629971020405	-60.9739999655181	0
14	1	-52.1910211020405	-60.2649999655181	0
15	1	-52.1910211020405	-58.8469999655181	0
16	1	-50.9629971020405	-58.1379999655181	0
17	1	-48.5069491020405	-60.9739999655181	0
18	1	-49.7349721020405	-60.2649999655181	0
19	1	-49.7349721020405	-58.8469999655181	0
20	1	-48.5069491020405	-58.1379999655181	0
21	1	-46.0509011020405	-60.9739999655181	0
22	1	-47.2789241020405	-60.2649999655181	0
23	1	-47.2789241020405	-58.8469999655181	0
24	1	-46.0509011020405	-58.1379999655181	0
25	1	-43.5948531020405	-60.9739999655181	0
26	1	-44.8228761020405	-60.2649999655181	0
27	1	-44.8228761020405	-58.8469999655181	0
28	1	-43.5948531020405	-58.1379999655181	0
29	1	-41.1388041020405	-60.9739999655181	0
30	1	-42.3668281020405	-60.2649999655181	0
31	1	-42.3668281020405	-58.8469999655181	0
32	1	-41.1388041020405	-58.1379999655181	0
33	1	-38.6827571020405	-60.9739999655181	0
34	1	-39.9107801020405	-60.2649999655181	0
35	1	-39.9107801020405	-58.8469999655181	0
36	1	-38.6827571020405	-58.1379999655181	0
37	1	-36.2267081020405	-60.9739999655181	0
38	1	-37.4547331020405	-60.2649999655181	0
39	1	-37.4547331020405	-58.8469999655181	0
40	1	-36.2267081020405	-58.1379999655181	0
41	1	-33.7706611020405	-60.9739999655181	0
42	1	-34.9986841020405	-60.2649999655181	0
43	1	-34.9986841020405	-58.8469999655181	0
44	1	-33.7706611020405	-58.1379999655181	0
45	1	-31.3146121020405	-60.9739999655181	0
46	1	-32.5426371020405	-60.2649999655181	0
47	1	-32.5426371020405	-58.8469999655181	0
48	1	-31.3146121020405	-58.1379999655181	0
49	1	-28.8585651020405	-60.9739999655181	0
50	1	-30.0865881020405	-60.2649999655181	0
51	1	-30.0865881020405	-58.8469999655181	0
52	1	-28.8585651020405	-58.1379999655181	0
53	1	-26.4025161020405	-60.9739999655181	0
54	1	-27.6305411020405	-60.2649999655181	0
55	1	-27.6305411020405	-58.8469999655181	0
56	1	-26.4025161020405	-58.1379999655181	0
57	1	-23.9464671020405	-60.9739999655181	0
58	1	-25.1744941020405	-60.2649999655181	0
59	1	-25.1744941020405	-58.8469999655181	0
60	1	-23.9464671020405	-58.1379999655181	0
61	1	-21.4904201020405	-60.9739999655181	0
62	1	-22.7184431020405	-60.2649999655181	0
63	1	-22.7184431020405	-58.8469999655181	0
64	1	-21.4904201020405	-58.1379999655181	0
65	1	-19.0343731020405	-60.9739999655181	0
66	1	-20.2623961020405	-60.2649999655181	0
67	1	-20.2623961020405	-58.8469999655181	0
68	1	-19.0343731020405	-58.1379999655181	0
69	1	-16.5783261020405	-60.9739999655181	0
70	1	-17.8063491020405	-60.2649999655181	0
71	1	-17.8063491020405	-58.8469999655181	0
72	1	-16.5783261020405	-58.1379999655181	0
